id	molecularFormula_canopus	adduct_canopus	NPC#pathway_canopus	NPC#superclass_canopus	NPC#class_canopus
3371	C33H63N9O8	[M + K]+	Amino acids and Peptides	Oligopeptides	Linear peptides
300	C19H29NO10	[M + H]+	Alkaloids	Tyrosine alkaloids	Dipeptides
3078	C21H36O11	[M + Na]+	Terpenoids	Monoterpenoids	Acyclic monoterpenoids
2797	C22H24N2O5	[M + H]+	Alkaloids	Tryptophan alkaloids	Aspidosperma type
3498	C27H20N4O6	[M + H]+	Alkaloids	Histidine alkaloids	Imidazole alkaloids
4141	C27H44N4O12	[M + Na]+	Amino acids and Peptides	Pseudoalkaloids	Linear peptides
3024	C22H30O11	[M + Na]+	Shikimates and Phenylpropanoids	Fatty acyl glycosides	Cinnamic acids and derivatives
5887	C15H22N2O3	[M + H]+	Alkaloids	Lysine alkaloids	Pyrrolidine alkaloids
1264	C20H34O3	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Other Octadecanoids
5457	C25H37NO2	[M + H]+	Alkaloids	Pseudoalkaloids	Simple amide alkaloids
5047	C34H35NO3	[M + H]+	Shikimates and Phenylpropanoids	Diarylheptanoids	Cinnamic acid amides
4014	C40H67N5O7S2	[M + H]+	Fatty acids	Glycerolipids	Triacylglycerols
5191	C38H65NO6S2	[M + H]+	Polyketides	Macrolides	Ansa macrolides
5046	C20H31NO9	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
5016	C3H3FO5	[M + H]+	Fatty acids	Saccharides	Dicarboxylic acids
6728	C35H58O10	[M + H]+	Terpenoids	Triterpenoids	Dammarane and Protostane triterpenoids
3775	C13H26N2O3S	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
3565	C21H37NO9	[M + H]+	Polyketides	Linear polyketides	Open-chain polyketides
4436	C21H30N2O6	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
2931	C18H32F3N5	[M + H]+	Alkaloids	Guanidine alkaloids	Farnesane sesquiterpenoids
4427	C17H29NO9	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
4131	C33H67N2O3P	[M + K]+	Fatty acids	Fatty amides	N-acyl amines
4029	C15H21N3O3	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
4973	C13H15NO5	[M + H]+	Alkaloids	Anthranilic acid alkaloids	Simple phenolic acids
2488	C19H37NO8	[M + H]+	Amino acids and Peptides	Apocarotenoids	Megastigmanes
4489	C17H28O8	[M + Na]+	Terpenoids	Monoterpenoids	Jasmonic acids
6658	C23H49N3O	[M + H]+	Alkaloids	Ornithine alkaloids	Polyamines
3161	C18H31NO9	[M + H]+	Fatty acids	Fatty acyl glycosides	Dipeptides
4554	C15H16O11	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
2845	C13H18O3	[M + H]+	Terpenoids	Monoterpenoids	Camphane monoterpenoids
3863	C22H33N5O5	[M + H]+	Amino acids and Peptides	Small peptides	Tripeptides
3077	C14H24N6OS	[M + Na]+	Alkaloids	Pseudoalkaloids	Purine alkaloids
6811	C20H35BF2O3	[M + H]+	Terpenoids	Monoterpenoids	Pinane monoterpenoids
5168	C17H29NO12	[M + H]+	Carbohydrates	Monoterpenoids	Aminosugars
5249	C18H37NO8	[M + H]+	Amino acids and Peptides	Monoterpenoids	Acyclic monoterpenoids
3706	C26H43NO4	[M + H]+	Terpenoids	Steroids	Cholane steroids
7254	C7H6O3	[M + H]+	Polyketides	Cyclic polyketides	4-pyrone derivatives
4013	C22H37NO10	[M + H]+	Amino acids and Peptides	Apocarotenoids	Apocarotenoids(ε-)
5149	C31H52N6O9	[M + H]+	Amino acids and Peptides	Ornithine alkaloids	Polyamines
2237	C18H19NO5	[M + H]+	Amino acids and Peptides	Phenylpropanoids (C6-C3)	Dipeptides
5004	C18H30O13	[M + H]+	Terpenoids	Monoterpenoids	Acyclic monoterpenoids
4452	C35H54O7	[M + H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
3859	C17H28N3O9P	[M + Na]+	Carbohydrates	Nucleosides	Pyrimidine nucleos(t)ides
2467	C37H42N10O6	[M + H]+	Amino acids and Peptides	Oligopeptides	Cyclic peptides
5534	C9H8O3	[M + H]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids
4988	C7H9N3	[M + H]+	Alkaloids	Peptide alkaloids	Pyrazine and Piperazine alkaloids
3018	C32H61BN6O5	[M + H]+	Fatty acids	Small peptides	Lipopeptides
5536	C17H27N11O3	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
4437	C22H28N2O5	[M + H]+	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids
4442	C11H12O4	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
4126	C22H35NO12	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
301	C18H24O	[M + H]+	Terpenoids	Diterpenoids	Estrane steroids
5138	C18H31NO12	[M + H]+	Carbohydrates	Monoterpenoids	Iridoids monoterpenoids
3499	C18H24O12	[M + H]+	Shikimates and Phenylpropanoids	Monoterpenoids	2-pyrone derivatives
2154	C16H12O7	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
5119	C18H23NO9	[M + H]+	Alkaloids	Anthranilic acid alkaloids	Dipeptides
2151	C9H6O3	[M + H]+	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins
5863	C27H33N7O10	[M + H]+	Alkaloids	Tyrosine alkaloids	Polyamines
4647	C15H23N9O	[M + Na]+	Alkaloids	Pseudoalkaloids	Purine alkaloids
2855	C20H41NO	[M + H]+	Fatty acids	Fatty amides	Primary amides
6786	C30H55N7O5	[M + H]+	Alkaloids	Oligopeptides	Linear peptides
4567	C17H31NO13	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
3393	C33H34FN5O4	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
292	C25H45NO9	[M + H]+	Fatty acids	Glycerolipids	Glycosylmonoacylglycerols
5456	C22H25N5O7	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
2003	C16H12O6	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavones
6874	C28H36O12	[M + Na]+	Terpenoids	Lignans	Colensane and Clerodane diterpenoids
2262	C18H25NO8	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
5327	C26H50O9	[M + Na]+	Fatty acids	Diterpenoids	Fatty acyl glycosides of mono- and disaccharides
5533	C24H37N5O13	[M + K]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
5496	C16H24O7	[M + H]+	Terpenoids	Monoterpenoids	Acyclic monoterpenoids
5521	C12H22N3O6P	[M + Na]+	Carbohydrates	Nucleosides	Pyrimidine nucleos(t)ides
3961	C18H33NO9	[M + H]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
4990	C9H20BNO6S	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Glucosinolates
5002	C15H16O8	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
3948	C16H16F2N6O4S	[M + H]+	Alkaloids	Tryptophan alkaloids	pteridine alkaloids
3481	C44H64N4O6	[M + K]+	Amino acids and Peptides	Oligopeptides	Lipopeptides
5458	C19H28N5O11P	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
2469	C34H45N3O13	[M + K]+	Alkaloids	Tyrosine alkaloids	Polyamines
4675	C23H31NO14	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
5224	C30H47N9O7	[M + Na]+	Amino acids and Peptides	Small peptides	Polyamines
6010	C18H28N9O10P	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
2490	C19H20O10	[M + Na]+	Terpenoids	Phenolic acids (C6-C1)	Simple phenolic acids
3429	C8H11NO	[M + H]+	Alkaloids	Tyrosine alkaloids	Phenylethylamines
3511	C12H14N2O2	[M + H]+	Alkaloids	Tryptophan alkaloids	Simple indole alkaloids
3522	C24H36O4	[M + H]+	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids
2871	C21H29NO11	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
2873	C13H27NO4	[M + H]+	Fatty acids	Fatty Acids and Conjugates	N-acyl amines
2950	C44H79NO7	[M + H]+	Fatty acids	Glycerolipids	Triacylglycerols
3055	C22H37BN2O5	[M + H]+	Amino acids and Peptides	Small peptides	Pinane monoterpenoids
3086	C18H35NO2	[M + H]+	Fatty acids	Sphingolipids	Sphingoid bases
3600	C27H43FO6	[M + H]+	Terpenoids	Steroids	Cholane steroids
4242	C13H17NO6	[M + H]+	Alkaloids	Mycosporine derivatives	Pyridine alkaloids
622	C16H33NO8S2	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Glucosinolates
4718	C19H36O4	[M + H]+	Fatty acids	Glycerolipids	Monoacylglycerols
5380	C6H11NO3	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids
6177	C26H25N3O12	[M + H]+	Alkaloids	Nucleosides	Pyrimidine nucleos(t)ides
3049	C19H32O2	[M + H]+	Fatty acids	Fatty esters	Unsaturated fatty acids
5741	C27H28O16	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
4992	C12H22O11	[M + Na]+	Carbohydrates	Saccharides	Disaccharides
6875	C39H75NO9	[M + H]+	Fatty acids	Glycerolipids	Diacylglycerols
3229	C22H37NO14	[M + H]+	Amino acids and Peptides	Monoterpenoids	Dipeptides
3404	C42H68N5O7P	[M + Na]+	Fatty acids	Sphingolipids	Phosphosphingolipids
4820	C6H11NO2	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids
3560	C27H44N5O6P	[M + H]+	Fatty acids	Sphingolipids	Phosphosphingolipids
4445	C26H45FO	[M + H]+	Terpenoids	Triterpenoids	Labdane diterpenoids
3531	C19H22N2O5	[M + H]+	Alkaloids	Tryptophan alkaloids	Quinoline alkaloids
5471	C9H12O8	[M + H]+	Carbohydrates	Saccharides	Monosaccharides
4747	C23H41NO10	[M + H]+	Alkaloids	Amino acid glycosides	Cyanogenic glycosides
5428	C20H32O9	[M + Na]+	Terpenoids	Monoterpenoids	Pinane monoterpenoids
3489	C46H80N4O3	[M + Na]+	Fatty acids	Fatty amides	N-acyl amines
5695	C32H49N7O7S	[M + H]+	Amino acids and Peptides	Oligopeptides	Cyclic peptides
5163	C13H15NO5	[M + H]+	Alkaloids	Tryptophan alkaloids	Simple coumarins
5947	C33H40O20	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
4346	C41H84NO6P	[M + K]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines
4419	C17H26N2O8	[M + H]+	Amino acids and Peptides	Nicotinic acid alkaloids	Pyridine alkaloids
4270	C16H33NO7	[M + H]+	Amino acids and Peptides	Monoterpenoids	Acyclic monoterpenoids
6802	C20H45N2O2P	[M + Na]+	Fatty acids	Ornithine alkaloids	Polyamines
6757	C37H56O6S	[M + H]+	Fatty acids	Eicosanoids	Shikimic acids and derivatives
5881	C24H45FO4	[M + H]+	Fatty acids	Glycerolipids	Monoacylglycerols
4931	C13H22N4O2	[M + Na]+	Alkaloids	Pseudoalkaloids	Simple amide alkaloids
5977	C39H66O11	[M + Na]+	Fatty acids	Glycerolipids	Glycosyldiacylglycerols
5324	C15H27FO4	[M + H]+	Fatty acids	Monoterpenoids	Prostaglandins
5723	C33H40O22	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
5383	C9H6O3	[M + H]+	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins
3050	C40H52O2	[M + H]+	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)
1074	C19H33NO11	[M + H]+	Carbohydrates	Mycosporine derivatives	Mycosporine and Mycosporine-like amino acids
5512	C41H66O12	[M + H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
4712	C20H23NO8	[M + H]+	Alkaloids	Anthranilic acid alkaloids	Anthranillic acid derivatives
2193	C42H80NO8P	[M + Na]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines
5946	C16H25NO7	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
5399	C10H16N5O6P	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
4960	C15H18O8	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
3552	C39H71NO8	[M + H]+	Polyketides	Macrolides	Open-chain polyketides
2932	C28H48N6O12	[M + H]+	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides
4974	C9H18N8O2	[M + K]+	Amino acids and Peptides	Small peptides	Dipeptides
4792	C21H41NO2	[M + H]+	Fatty acids	Fatty esters	Unsaturated fatty acids
4438	C21H27NO10	[M + H]+	Alkaloids	Tyrosine alkaloids	Aspidosperma type
5311	C26H23ClN4O9	[M + H]+	Shikimates and Phenylpropanoids	Anthranilic acid alkaloids	Benzodiazepine alkaloids
6669	C35H56N2O8	[M + H]+	Polyketides	Macrolides	Open-chain polyketides
5897	C22H40O9	[M + Na]+	Fatty acids	Sesquiterpenoids	Fatty acyl glycosides of mono- and disaccharides
5483	C9H10O7	[M + H]+	Polyketides	Cyclic polyketides	Monosaccharides
3651	C25H36O5	[M + Na]+	Terpenoids	Diterpenoids	Labdane diterpenoids
5109	C16H19NO7	[M + H]+	Amino acids and Peptides	Monoterpenoids	Wax monoesters
4685	C21H41NO8	[M + H]+	Terpenoids	Apocarotenoids	Megastigmanes
5739	C40H78N6O6	[M + Na]+	Amino acids and Peptides	Oligopeptides	Lipopeptides
3070	C16H28O3	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Other Octadecanoids
5484	C19H30F3N5O3	[M + H]+	Alkaloids	Pseudoalkaloids	Purine alkaloids
4815	C17H31NO4	[M + H]+	Terpenoids	Linear polyketides	Nitro fatty acids
6730	C31H34O13	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavones
5411	C6H13NO5	[M + H]+	Carbohydrates	Aminosugars and aminoglycosides	Aminosugars
4385	C35H56O8	[M + H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
4120	C33H55NO17	[M + H]+	Terpenoids	Monoterpenoids	Secoiridoid monoterpenoids
5244	C20H29NO11	[M + H]+	Terpenoids	Monoterpenoids	Cyanogenic glycosides
295	C35H54FN3O2	[M + H]+	Terpenoids	Triterpenoids	Lupane triterpenoids
6775	C18H37NO9	[M + H]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
2930	C18H23N7O7	[M + H]+	Amino acids and Peptides	Small peptides	Tripeptides
1232	C39H58O11	[M + H]+	Terpenoids	Glycerolipids	Polyene macrolides
5470	C24H43BN2O6	[M + H]+	Terpenoids	Monoterpenoids	Pinane monoterpenoids
4044	C28H42O7	[M + H]+	Terpenoids	Steroids	Open-chain polyketides
5466	C16H20O9	[M + Na]+	Terpenoids	Phenylethanoids (C6-C2)	Prezizaane sesquiterpenoids
4240	C14H15NO5	[M + H]+	Alkaloids	Tryptophan alkaloids	Quinoline alkaloids
3040	C36H62N2O14	[M + H]+	Alkaloids	Pseudoalkaloids (transamidation)	Open-chain polyketides
5218	C32H38FN13O4	[M + H]+	Alkaloids	Tryptophan alkaloids	Carboline alkaloids
2190	C16H31NO7	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
5514	C20H25N3O7	[M + H]+	Carbohydrates	Nucleosides	Pyrimidine nucleos(t)ides
2809	C29H47NO5	[M + H]+	Fatty acids	Steroids	Cholane steroids
4211	C13H19NO3	[M + H]+	Alkaloids	Phenolic acids (C6-C1)	Simple phenolic acids
5531	C23H35N3O6	[M + H]+	Alkaloids	Fatty amides	N-acyl amines
4949	C10H14O3	[M + H]+	Polyketides	Cyclic polyketides	2-pyrone derivatives
5027	C44H74NO8P	[M + Na]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines
4470	C9H19ClN2O4	[M + Na]+	Carbohydrates	Aminosugars and aminoglycosides	Aminosugars
4959	C15H15N5O	[M + H]+	Alkaloids	Histidine alkaloids	Imidazole alkaloids
4654	C37H60O5	[M + Na]+	Fatty acids	Glycerolipids	Diacylglycerols
5511	C36H58O8	[M + H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
2822	C36H51FO3	[M + H]+	Terpenoids	Triterpenoids	Carotenoids (C40, β-β)
6792	C20H20Cl2N8O6	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
3192	C37H55FO4	[M + H]+	Terpenoids	Triterpenoids	Carotenoids (C40, β-β)
990	C13H20O5	[M + H]+	Polyketides	Macrolides	Macrolide lactones
2473	C10H24N2O3	[M + H]+	Alkaloids	Ornithine alkaloids	Polyamines
5039	C20H19N5O7S	[M + H]+	Shikimates and Phenylpropanoids	Nucleosides	Purine nucleos(t)ides
6899	C23H44NO7P	[M + H]+	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines
5981	C26H37NO11	[M + H]+	Alkaloids	Lignans	Arylnaphthalene and aryltetralin lignans
4325	C26H47NO11	[M + H]+	Terpenoids	Apocarotenoids	Megastigmanes
5375	C7H14N2O3	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
4135	C20H32F3N5O4	[M + H]+	Alkaloids	Pseudoalkaloids	Phenylalanine-derived alkaloids
5188	C14H25FO11	[M + H]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
5221	C28H36O14	[M + H]+	Terpenoids	Monoterpenoids	Secoiridoid monoterpenoids
4848	C16H29NO5	[M + H]+	Fatty acids	Linear polyketides	Open-chain polyketides
5734	C29H28O17	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
992	C10H23N5O2	[M + Na]+	Alkaloids	Ornithine alkaloids	Polyamines
6824	C19H35NO8	[M + H]+	Terpenoids	Apocarotenoids	Megastigmanes
5120	C22H36N2O9	[M + H]+	Carbohydrates	Polyols	Amino cyclitols
5722	C21H29N5O6	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
5310	C14H17B2NO5	[M + H]+	Terpenoids	Monoterpenoids	Pinane monoterpenoids
5216	C35H58FN5O9	[M + H]+	Polyketides	Oligopeptides	Depsipeptides
3190	C11H18O9	[M + H]+	Carbohydrates	Saccharides	Disaccharides
5365	C30H44O2	[M + H]+	Terpenoids	Triterpenoids	Lupane triterpenoids
5719	C12H20O7S	[M + H]+	Fatty acids	Macrolides	Wax monoesters
4439	C21H33N3O6	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
6929	C19H30O7	[M + H]+	Terpenoids	Apocarotenoids	Megastigmanes
3202	C24H47NO4	[M + H]+	Fatty acids	Fatty amides	N-acyl amines
4412	C14H22	[M + H]+	Terpenoids	Sesquiterpenoids	Caryophyllane sesquiterpenoids
5025	C28H50BN5O7	[M + Na]+	Amino acids and Peptides	Oligopeptides	Linear peptides
5872	C38H74N12O3	[M + H]+	Terpenoids	Pseudoalkaloids	Labdane diterpenoids
6774	C21H37N5	[M + H]+	Alkaloids	Guanidine alkaloids	Tricyclic guanidine alkaloids
3524	C34H58N6O6	[M + H]+	Amino acids and Peptides	Oligopeptides	Lipopeptides
5398	C13H12O9	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
4409	C16H30O7	[M + H]+	Terpenoids	Monoterpenoids	Acyclic monoterpenoids
5106	C9H6O3	[M + H]+	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins
5974	C16H23NO7	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
5508	C13H20O5	[M + H]+	Polyketides	Monoterpenoids	Macrolide lactones
1255	C34H68O6S	[M + H]+	Fatty acids	Glycerolipids	Monoacylglycerols
4733	C39H76NO5P	[M + H]+	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines
3223	C35H68NO9P	[M + H]+	Fatty acids	Glycerophospholipids	Oxidized glycerophospholipids
3493	C38H74N3O13P	[M + H]+	Fatty acids	Sphingolipids	Phosphosphingolipids
6814	C26H46O15	[M + Na]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
3974	C16H31NO8	[M + H]+	Fatty acids	Small peptides	Open-chain polyketides
6784	C12H20O9	[M + H]+	Carbohydrates	Saccharides	Disaccharides
5128	C18H20N4O6	[M + H]+	Alkaloids	Peptide alkaloids	Simple amide alkaloids
3639	C32H48O9	[M + H]+	Terpenoids	Macrolides	Open-chain polyketides
3483	C29H60O3	[M + H]+	Terpenoids	Triterpenoids	Fatty alcohols
3016	C20H19NO5	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acid amides
7253	C13H20O6	[M + Na]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
4909	C42H68O12	[M + H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
2816	C28H54O3	[M + H]+	Terpenoids	Steroids	Cholestane steroids
6798	C12H12O5	[M + H]+	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins
3423	C8H12N4	[M + H]+	Alkaloids	Histidine alkaloids	Purine alkaloids
6908	C12H11NO3	[M + H]+	Alkaloids	Tryptophan alkaloids	Quinoline alkaloids
3485	C7H13NO3	[M + H]+	Amino acids and Peptides	Small peptides	Aminoacids
3519	C12H23FO3	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Wax monoesters
4257	C19H23NO10	[M + H]+	Alkaloids	Tyrosine alkaloids	Simple amide alkaloids
6907	C15H19NO4	[M + H]+	Alkaloids	Tryptophan alkaloids	Quinoline alkaloids
3526	C47H68O10	[M + H]+	Terpenoids	Glycerolipids	Glycosyldiacylglycerols
4776	C24H40FN3O	[M + H]+	Alkaloids	Sesquiterpenoids	Quinolizidine alkaloids
5000	C22H32BFO4	[M + H]+	Fatty acids	Steroids	Pinane monoterpenoids
3708	C13H21N6O5P	[M + H]+	Alkaloids	Pseudoalkaloids	Purine alkaloids
1693	C15H24O	[M + H]+	Terpenoids	Sesquiterpenoids	Cedrane and Isocedrane sesquiterpenoids
4670	C26H49N5O3	[M + K]+	Alkaloids	Ornithine alkaloids	Phenylalanine-derived alkaloids
4125	C19H38O6	[M + H]+	Fatty acids	Glycerolipids	Monoacylglycerols
2904	C26H37NO11	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
4235	C10H13NO2	[M + H]+	Shikimates and Phenylpropanoids	Small peptides	Simple phenolic acids
6930	C13H24FNO	[M + Na]+	Alkaloids	Tryptophan alkaloids	Pyridine alkaloids
3408	C19H33BN4O4	[M + H]+	Terpenoids	Monoterpenoids	Pinane monoterpenoids
5486	C12H23N5O12	[M + H]+	Carbohydrates	Aminosugars and aminoglycosides	Aminosugars
1223	C16H12F2N6O4	[M + H]+	Carbohydrates	Nucleosides	Purine nucleos(t)ides
5325	C17H14O7	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
6644	C20H24N6O6	[M + H]+	Amino acids and Peptides	Small peptides	Tripeptides
4937	C9H10O2	[M + H]+	Terpenoids	Aromatic polyketides	Benzoquinones
2821	C21H41N2O4P	[M + Na]+	Fatty acids	Fatty amides	N-acyl amines
4961	C20H30N2O5	[M + Na]+	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids
3508	C38H59FO6	[M + H]+	Terpenoids	Glycerolipids	Triacylglycerols
4687	C22H23FN4O8	[M + H]+	Shikimates and Phenylpropanoids	Nicotinic acid alkaloids	Pyridine alkaloids
4296	C26H35NO11	[M + H]+	Alkaloids	Tryptophan alkaloids	Secoiridoid monoterpenoids
3454	C18H32N2O3	[M + H]+	Fatty acids	Steroids	Primary amides
4936	C21H24BN7O3	[M + K]+	Amino acids and Peptides	Small peptides	Dipeptides
4795	C19H32O5	[M + H]+	Polyketides	Fatty acyls	Fatty alcohols
5228	C31H49NO5	[M + H]+	Terpenoids	Steroids	Piperidine alkaloids
4146	C24H42O5	[M + H]+	Terpenoids	Steroids	Cholane steroids
6178	C33H40O20	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavonols
4818	C16H25NO4	[M + H]+	Alkaloids	Ornithine alkaloids	Tropane alkaloids
5226	C12H15N2O3	[M + Na]+	Amino acids and Peptides	Small peptides	Aminoacids
4732	C27H45NO4	[M + H]+	Terpenoids	Fatty amides	Simple amide alkaloids
5036	C13H8N4O10	[M + H]+	Alkaloids	Pseudoalkaloids	Aminoacids
5316	C24H34O3	[M + Na]+	Terpenoids	Steroids	Cholestane steroids
6789	C16H20N2O6	[M + H]+	Amino acids and Peptides	Small peptides	Dipeptides
5367	C5H9FO3	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids
6181	C17H29NO13	[M + H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
2157	C32H45NO17	[M + H]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
3545	C26H47NO10	[M + H]+	Polyketides	Linear polyketides	Open-chain polyketides
3231	C25H42F3N3O3	[M + Na]+	Alkaloids	Ornithine alkaloids	Quinolizidine alkaloids
3132	C8H6O3	[M + H]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple coumarins
7279	C44H77N3O7	[M + H]+	Amino acids and Peptides	Oligopeptides	Depsipeptides
4358	C22H32O12	[M + Na]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids
3420	C45H77NO11	[M + H]+	Fatty acids	Glycerolipids	Glycosyldiacylglycerols
621	C12H14O3	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
5220	C14H14N4O4S	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
4253	C11H19NO6	[M + H]+	Amino acids and Peptides	Mycosporine derivatives	Mycosporine and Mycosporine-like amino acids
6189	C26H33N5O11	[M + H]+	Carbohydrates	Tryptophan alkaloids	Purine nucleos(t)ides
2817	C20H36O	[M + H]+	Fatty acids	Fatty acyls	Fatty alcohols
3082	C48H92NO6P	[M + K]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines
5397	C6H6O3	[M + H]+	Polyketides	Cyclic polyketides	Furans
5434	C8H8O2	[M + H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
5488	C12H16O5	[M + H]+	Polyketides	Cyclic polyketides	2-pyrone derivatives
6886	C18H26O2	[M + H]+	Terpenoids	Steroids	Estrane steroids
5321	C28H36O12	[M + H]+	Terpenoids	Triterpenoids	Colensane and Clerodane diterpenoids
7264	C31H50O4	[M + H]+	Terpenoids	Triterpenoids	Open-chain polyketides
4459	C15H24F3N5O4	[M + H]+	Carbohydrates	Pseudoalkaloids	Purine nucleos(t)ides
5132	C36H30O15	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavanones
4476	C18H24N2O6	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
6906	C46H76NO8P	[M + H]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines
4734	C17H24FNO6	[M + H]+	Alkaloids	Tryptophan alkaloids	Tropane alkaloids
2934	C14H17NO5	[M + H]+	Alkaloids	Tyrosine alkaloids	Phenylethylamines
3017	C16H19NO4	[M + H]+	Terpenoids	Phenolic acids (C6-C1)	Simple phenolic acids
4467	C31H45NO5	[M + H]+	Polyketides	Cyclic polyketides	Ansa macrolides
