rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
252	1	1	11	0.33069632599029297	-328.592071900079	N/A	67.78242632393108	C26H37NO11	[M + H]+	KLRYMMLCMADUMI	InChI=1S/C26H37NO11/c1-12(8-26(2,3)11-27)13-4-6-14(7-5-13)23-34-10-16-22(37-23)19(31)21(33)25(36-16)38-24-20(32)18(30)17(29)15(9-28)35-24/h4-7,12,15-25,28-33H,8-10H2,1-3H3	null	CC(CC(C)(C)C#N)C1=CC=C(C=C1)C2OCC3C(O2)C(C(C(O3)OC4C(C(C(C(O4)CO)O)O)O)O)O	-0.699999988	117783846	PubChem:(117783846)	2	540.2427978515625	206.679282	2048_cdhrc_dbgi_alc_pos_sirius_5981
253	1	1	11	0.3298819094625336	-96.62970462283455	N/A	174.468653172746	C27H46O12	[M + H]+	UPFPPGMSXLZFBF	InChI=1S/C27H46O12/c1-12-7-14(36-24-22(34)20(32)18(30)16(10-28)37-24)9-27(4)6-5-13(8-15(12)27)26(2,3)39-25-23(35)21(33)19(31)17(11-29)38-25/h13-25,28-35H,1,5-11H2,2-4H3	Atractyloside D	CC12CCC(CC1C(=C)CC(C2)OC3C(C(C(C(O3)CO)O)O)O)C(C)(C)OC4C(C(C(C(O4)CO)O)O)O	-0.800000012	71448954;101831402	COCONUT:(CNP0230720);KEGG:(C17861);Natural Products:(UNPD196351 UNPD91673);PubChem:(71448954 101831402);SuperNatural:(SN00339992 SN00295083)	3178754	563.306287350381	230.163342	5646_cdhrc_dbgi_alc_pos_sirius_2316
254	2	1	10	0.32903305096250246	-127.74001600658372	N/A	105.293873175317	C30H26O14	[M + H]+	MNKQAVLCMUQMSD	InChI=1S/C30H26O14/c31-13-6-17(34)15-10-24(28(42-22(15)8-13)11-1-2-16(33)18(35)3-11)44-30(12-4-20(37)26(39)21(38)5-12)29(41)27(40)25-19(36)7-14(32)9-23(25)43-30/h1-9,24,27-29,31-41H,10H2	Prodelphinidine	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC4(C(C(C5=C(C=C(C=C5O4)O)O)O)O)C6=CC(=C(C(=C6)O)O)O	1.60000002	285704;3246478;6713584;53298571;92252678;92252679;92252680;92252681	PubChem:(285704 3246478 6713584 53298571 92252678 92252679 92252680 92252681);PubMed	66	611.1376334865395	93.093372	6675_cdhrc_dbgi_alc_pos_sirius_6049
255	1	1	1	0.32832754260301883	-41.873299035322354	N/A	4032.314191667014	C26H48NO7P	[M + H]+	WKQNRCYKYCKESD	InChI=1S/C26H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h6-7,9-10,12-13,25,28H,5,8,11,14-24H2,1-4H3/p+1	1-18:3-lysoPC	CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	4.4000001	5313992;5313993;24779469;24779470;134776142;134776143;139292123;139292124	COCONUT:(CNP0421217);HMDB:(10388);PubChem:(5313992 5313993 24779469 24779470 134776142 134776143 139292123 139292124);YMDB Mine;CHEBI:(133456 88697);additional;Training Set;PubMed;Biocyc:(CPD-8348);Lipid:(LPC(18:3))	38657345642	518.3250933929621	412.567386	5373_cdhrc_dbgi_alc_pos_sirius_278
256	3	1	10	0.3278843615332635	-294.6106038648564	N/A	49.77326467368992	C32H37NO6	[M + Na]+	LFDPGEONEZATOG	InChI=1S/C32H37NO6/c1-5-38-27-15-12-21(18-28(27)37-4)30-29(32(35)39-24-8-6-7-9-24)19(2)33-25-16-22(17-26(34)31(25)30)20-10-13-23(36-3)14-11-20/h10-15,18,22,24,30,33H,5-9,16-17H2,1-4H3	Oprea1_556841	CCOC1=C(C=C(C=C1)C2C3=C(CC(CC3=O)C4=CC=C(C=C4)OC)NC(=C2C(=O)OC5CCCC5)C)OC	5.4000001	1037544;1037545;1037546;1037547;3131393	PubChem:(1037544 1037545 1037546 1037547 3131393)	2	554.2498094555046	338.80267200000003	3423_cdhrc_dbgi_alc_pos_sirius_4089
257	11	1	11	0.3276815527985609	-310.85513945718367	N/A	106.88770214827753	C24H49N9O9	[M + K]+	HHMCBAIUNXZBJC	InChI=1S/C24H49N9O9/c25-4-3-13(35)22(31)33-12-5-11(28)20(41-23-10(27)2-1-9(39-23)7-32-15(29)6-26)19(38)21(12)42-24-18(37)16(30)17(36)14(8-34)40-24/h9-14,16-21,23-24,34-38H,1-8,25-28,30H2,(H2,29,32)(H2,31,33)	null	C1CC(C(OC1CN=C(CN)N)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CO)O)N)O)N=C(C(CCN)O)N)N)N	-8.0	68213628;77426917	PubChem:(68213628 77426917)	2	646.3259264808498	177.62874	3218_cdhrc_dbgi_alc_pos_sirius_2088
258	2	1	4	0.3267797566251131	-303.3292535605866	N/A	14.360878264312277	C23H24FN9O3	[M + H]+	WKVCAPBEBFVQQF	InChI=1S/C23H24FN9O3/c1-23(2,36)17-10-27-19(11-26-17)32-6-4-5-13(22(32)35)29-18-8-15(25-3)20-28-9-16(33(20)31-18)21(34)30-14-7-12(14)24/h4-6,8-12,14,25,36H,7H2,1-3H3,(H,29,31)(H,30,34)	null	CC(C)(C1=CN=C(C=N1)N2C=CC=C(C2=O)NC3=NN4C(=CN=C4C(=C3)NC)C(=O)NC5CC5F)O	0.600000024	118155264;123265134	PubChem:(118155264 123265134)	2	494.205803817394	264.173772	83_cdhrc_dbgi_alc_pos_sirius_4785
259	4	1	6	0.32641659743961154	-157.9221202120034	N/A	32.78615030997317	C10H10ClN4O7P	[M + Na]+	KFXZQRODBFPKPQ	InChI=1S/C10H10ClN4O7P/c11-10-14-4-7(12-2-13-8(4)17)15(10)9-5(16)6-3(21-9)1-20-23(18,19)22-6/h2-3,5-6,9,16H,1H2,(H,18,19)(H,12,13,17)	null	C1C2C(C(C(O2)N3C4=C(C(=O)NC=N4)N=C3Cl)O)OP(=O)(O1)O	-1.79999995	135590657	PubChem:(135590657)	2	386.98689439191764	61.659462	40_cdhrc_dbgi_alc_pos_sirius_5395
260	1	1	7	0.3256686451235588	-117.57588171185772	N/A	7.705335206598177	C35H56O11	[M + Na]+	KBMPKOHHMPJHTC	InChI=1S/C35H56O11/c1-30(2)11-13-35(29(43)46-28-25(40)24(39)23(38)19(16-36)45-28)14-12-32(4)17(22(35)27(30)42)7-8-20-31(3)15-18(37)26(41)34(6,44)21(31)9-10-33(20,32)5/h7,18-28,36-42,44H,8-16H2,1-6H3	null	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)O)O)O)C)C)C2C1O)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C	2.17872334	""	COCONUT:(CNP0171524);Natural Products:(UNPD229165)	2129920	675.3704116894335	488.183544	884_cdhrc_dbgi_alc_pos_sirius_3525
261	2	1	3	0.3247709010840426	-182.85292217820418	N/A	21.78992287200928	C26H46O16	[M + Na]+	GCKLKVQHEBGLRU	InChI=1S/C26H46O16/c1-19(29)35-10-9-34-18-24(40-14-11-36-20(2)30)26(42-16-13-38-22(4)32)25(41-15-12-37-21(3)31)23(39-8-6-28)17-33-7-5-27/h23-28H,5-18H2,1-4H3	null	CC(=O)OCCOCC(C(C(C(COCCO)OCCO)OCCOC(=O)C)OCCOC(=O)C)OCCOC(=O)C	-2.20000005	53878031	PubChem:(53878031)	2	637.2648788203771	604.7747400000001	5664_cdhrc_dbgi_alc_pos_sirius_1472
262	1	1	6	0.32278193474993644	-61.05803097923139	N/A	150.78862732865232	C11H18O9	[M + H]+	RXIATAMLCVWZQE	InChI=1S/C11H18O9/c1-4(14)10(5(15)2-12)20-11-9(18)8(17)7(16)6(3-13)19-11/h1-2,4-11,13-18H,3H2	3alpha,6alpha-Mannopentaose	[CH]C(C(C(C=O)O)OC1C(C(C(C(O1)CO)O)O)O)O	-3.4000001	71433926	PubChem:(71433926)	2	295.1020049300419	183.131448	77_cdhrc_dbgi_alc_pos_sirius_3190
263	1	1	1	0.3223128152925772	-91.70814822366992	N/A	159.7154638901764	C11H16O3	[M + H]+	PIJHLJYFYMNUMA	InChI=1S/C11H16O3/c1-8(12)3-2-4-9-5-10(13)7-11(14)6-9/h5-8,12-14H,2-4H2,1H3	null	CC(CCCC1=CC(=CC(=C1)O)O)O	1.89999998	125416105;125416104;129008856	COCONUT:(CNP0087307);Training Set;PubChem:(125416105 125416104 129008856)	2113538	197.11717144789938	206.173968	5096_cdhrc_dbgi_alc_pos_sirius_6
264	1	1	1	0.32088855391434995	-16.458597064127726	N/A	39.12197519387158	C8H11NO3	[M + H]+	LXNHXLLTXMVWPM	InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3	Adermine	CC1=NC=C(C(=C1O)CO)CO	0.148774192	1054;5131291;11105834;15556370;15556371;10464814;21592717;21814353;46782824;76973013;91008398;101548130;122236882;131674195	HMDB:(239);PubChem class - food;SuperNatural:(SN00000396);ZINC bio:(ZINC00049154);additional;MeSH:(1054);Plantcyc:(PYRIDOXINE);PubMed;NORMAN:(NS00004187);COCONUT:(CNP0297581);KNApSAcK:(1551);Natural Products:(UNPD53280);PubChem:(1054 5131291 11105834 15556370 15556371 10464814 21592717 21814353 46782824 76973013 91008398 101548130 122236882 131674195);CHEBI:(16709);PubChem class - bio and metabolites;KEGG:(C00314);PubChem class - safety and toxic;YMDB:(37);Training Set;PubChem class - drug;Biocyc:(PYRIDOXINE SMA-0000373)	255846782	170.08137697003312	659.12004	2259_cdhrc_dbgi_alc_pos_sirius_763
265	1	1	1	0.32086865028065426	-186.55080061370583	N/A	75.75700468765314	C26H50O2S	[M + Na]+	BPWBZWXBWXVUAZ	InChI=1S/C26H50O2S/c1-3-5-7-9-11-13-15-17-19-25(23-21-27-23)29-26(24-22-28-24)20-18-16-14-12-10-8-6-4-2/h23-26H,3-22H2,1-2H3	null	CCCCCCCCCCC(C1CO1)SC(CCCCCCCCCC)C2CO2	10.5	87497770	PubChem:(87497770)	2	449.3420775308437	686.79828	7185_cdhrc_dbgi_alc_pos_sirius_1764
266	8	1	3	0.3202652344941977	-286.5882544244401	N/A	1.6945052243078633	C38H68N10O8	[M + Na]+	LMONCXPAMVOAJO	InChI=1S/C38H68N10O8/c1-15-23(8)29-38(56)46(12)25(10)36(54)48(14)28(19-21(4)5)33(51)41-26(18-20(2)3)37(55)45(11)24(9)35(53)47(13)27(16-17-40-44-39)32(50)43-30(34(52)42-29)31(49)22(6)7/h20-31,49H,15-19H2,1-14H3,(H,41,51)(H,42,52)(H,43,50)	null	CCC(C)C1C(=O)N(C(C(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)NC(C(=O)N1)C(C(C)C)O)CCN=[N+]=[N-])C)C)C)CC(C)C)CC(C)C)C)C)C	4.69999981	101880455	PubChem:(101880455)	2	815.5078287237791	696.0861	4334_cdhrc_dbgi_alc_pos_sirius_702
267	2	1	3	0.3176448044874056	-96.53575917851373	N/A	41.682255548163376	C18H31NO3	[M + Na]+	FPZGMZVAEFTCCT	InChI=1S/C18H31NO3/c1-3-5-11-19(12-6-4-2)13-14-21-15-16-22-18-10-8-7-9-17(18)20/h7-10,20H,3-6,11-16H2,1-2H3	null	CCCCN(CCCC)CCOCCOC1=CC=CC=C1O	3.87484503	73893267	PubChem:(73893267)	2	332.2206273137821	208.79497800000001	6453_cdhrc_dbgi_alc_pos_sirius_7369
268	2	1	10	0.317023781861804	-114.65059613803798	N/A	202.36217075526622	C24H38O7	[M + H]+	PUDFLZBILXNVKQ	InChI=1S/C24H38O7/c1-24-9-2-3-17(24)16-6-4-12-11-13(5-7-14(12)15(16)8-10-24)30-23-20(27)18(25)19(26)21(31-23)22(28)29/h12-21,23,25-27H,2-11H2,1H3,(H,28,29)	(2S,3S,4S,5R)-3,4,5-trihydroxy-6-[[(8R,9R,10S,13S,14S)-13-methyl-1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17-hexadecahydrocyclopenta[a]phenanthren-3-yl]oxy]oxane-2-carboxylic acid	CC12CCCC1C3CCC4CC(CCC4C3CC2)OC5C(C(C(C(O5)C(=O)O)O)O)O	4.19999981	18395086	PubChem:(18395086)	2	439.2682404519756	365.45986800000003	566_cdhrc_dbgi_alc_pos_sirius_2821
269	3	1	4	0.31685053308717925	-62.00409048777545	N/A	22.819248301888305	C9H17N2O	[M + K]+	NUIVCPDHSCEXNL	InChI=1S/C9H17N2O/c1-3-4-10-5-7-11(8-6-10)9(2)12/h1,3-8H2,2H3	null	CC(=O)N1CCN(CC1)CC[CH2]	0.400000006	57422865	PubChem:(57422865)	2	208.09697300138416	250.768614	911_cdhrc_dbgi_alc_pos_sirius_5260
270	8	1	10	0.3167211870919706	-196.4051812832121	N/A	12.410275735766746	C23H42N8O7S	[M + H]+	IFZNKTPMBLPUOH	InChI=1S/C23H42N8O7S/c1-11(27-21(36)13(3)29-23(38)16(30-15(5)32)8-6-7-9-24)19(34)26-12(2)20(35)28-14(4)22(37)31-17(10-39)18(25)33/h11-14,16-17,39H,6-10,24H2,1-5H3,(H2,25,33)(H,26,34)(H,27,36)(H,28,35)(H,29,38)(H,30,32)(H,31,37)	null	CC(C(=O)NC(C)C(=O)NC(CS)C(=O)N)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C	-2.70000005	87731133	PubChem:(87731133)	2	575.2994995117188	212.994942	4542_cdhrc_dbgi_alc_pos_sirius_4107
271	1	1	10	0.3166448852316897	-23.647748504766845	N/A	186.5224431317696	C36H58O8	[M + H]+	CRXKYPFRPWFEJJ	InChI=1S/C36H58O8/c1-20-26(38)27(39)28(40)29(43-20)44-25-11-12-32(4)23(33(25,5)19-37)10-13-35(7)24(32)9-8-21-22-18-31(2,3)14-16-36(22,30(41)42)17-15-34(21,35)6/h8,20,22-29,37-40H,9-19H2,1-7H3,(H,41,42)	null	CC1C(C(C(C(O1)OC2CCC3(C(C2(C)CO)CCC4(C3CC=C5C4(CCC6(C5CC(CC6)(C)C)C(=O)O)C)C)C)O)O)O	5.19999981	101306766	COCONUT:(CNP0219905);Natural Products:(UNPD191813 UNPD112991);PubChem:(101306766);SuperNatural:(SN00266149 SN00294874)	3178498	619.4204761819162	363.15694199999996	76_cdhrc_dbgi_alc_pos_sirius_5511
272	1	1	4	0.3165610483624055	-14.74194369490638	N/A	11.62661673073919	C26H28O15	[M + Na]+	RXAXTTGJEMODPY	InChI=1S/C26H28O15/c27-7-15-18(33)20(35)24(41-25-21(36)17(32)13(31)8-37-25)26(39-15)40-23-19(34)16-12(30)5-11(29)6-14(16)38-22(23)9-1-3-10(28)4-2-9/h1-6,13,15,17-18,20-21,24-33,35-36H,7-8H2	Leucoside	C1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)CO)O)O)O)O)O	-0.800000012	10438202;44566720;44258738;44258801;46889314;74977996;73897331;101138142;101423599;133562232	HMDB:(37533);SuperNatural:(SN00038983 SN00402349 SN00257730);ZINC bio:(ZINC44305556);additional;MeSH:(44258801 44566720 74977996 133562232);PubMed;COCONUT:(CNP0255170);KNApSAcK:(5156);Natural Products:(UNPD45384 UNPD9171 UNPD134026);PubChem:(10438202 44566720 44258738 44258801 46889314 74977996 73897331 101138142 101423599 133562232);PubChem class - bio and metabolites;Training Set	20504670	603.132352337302	185.76524999999998	1881_cdhrc_dbgi_alc_pos_sirius_6004
273	1	1	7	0.3163929560649388	-51.71386286351857	N/A	42.48541889170862	C36H36O20	[M + H]+	MNQXYDTZVQQBJH	InChI=1S/C36H36O20/c37-11-22-26(45)29(48)31(50)35(53-22)56-34-30(49)27(46)23(12-51-24(44)6-2-13-1-4-16(39)18(41)7-13)54-36(34)55-33-28(47)25-20(43)9-15(38)10-21(25)52-32(33)14-3-5-17(40)19(42)8-14/h1-10,22-23,26-27,29-31,34-43,45-46,48-50H,11-12H2	Quercetin 3-(6''''-caffeoylsophoroside)	C1=CC(=C(C=C1C=CC(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)OC6C(C(C(C(O6)CO)O)O)O)O)O)O)O	0.200000003	44258008;102019475	COCONUT:(CNP0229817);KNApSAcK:(13877);Natural Products:(UNPD91806);PubChem:(44258008 102019475);SuperNatural:(SN00243226)	3178514	789.1875165275738	178.88807400000002	5506_cdhrc_dbgi_alc_pos_sirius_5758
274	1	1	10	0.3145684978839243	-183.12398334664502	N/A	108.46221193746396	C30H53NO9	[M + H]+	GVPDZXPAAWSLFA	InChI=1S/C30H53NO9/c1-12-22-29(7,36)14-16(2)23(32)17(3)15-30(8,37-11)26(19(5)24(33)20(6)27(35)39-22)40-28-25(34)21(31(9)10)13-18(4)38-28/h14,17-22,24-26,28,33-34,36H,12-13,15H2,1-11H3	(10E)-3-O-De(|A-L-cladinose)-10-dehydro-11-dehydroxy-6-O-methyl-erythromycin	CCC1C(C=C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)O)C)OC2C(C(CC(O2)C)N(C)C)O)(C)OC)C)C)(C)O	2.5	10769412;57893271;58150426;70961996;123951367;131875615;139024278	PubChem:(10769412 57893271 58150426 70961996 123951367 131875615 139024278)	2	572.3793549902133	481.694388	1649_cdhrc_dbgi_alc_pos_sirius_3652
275	1	1	10	0.3144169777285972	-31.922917448991726	N/A	63.61593154880028	C27H28O18	[M + H]+	KUHVZFKJXHIRDW	InChI=1S/C27H28O18/c28-6-13-15(32)17(34)20(37)27(43-13)44-23-16(33)14-11(31)4-8(41-26-21(38)18(35)19(36)24(45-26)25(39)40)5-12(14)42-22(23)7-1-2-9(29)10(30)3-7/h1-5,13,15,17-21,24,26-32,34-38H,6H2,(H,39,40)	Quercetin 3-glucoside-7-glucuronide	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)O)O	-1.20000005	14841207;21309399;44259152	COCONUT:(CNP0213848);KNApSAcK:(5429);Natural Products:(UNPD155015);PubChem:(14841207 21309399 44259152);SuperNatural:(SN00315499)	3178514	641.1345905988552	134.141418	4036_cdhrc_dbgi_alc_pos_sirius_3742
276	1	1	9	0.31285800093625693	-110.14091837470403	N/A	62.36520605612503	C16H20N2O6	[M + H]+	ALKFYDQGZGCQKC	InChI=1S/C16H20N2O6/c1-10(19)17-13(9-11-5-3-2-4-6-11)15(22)18-12(16(23)24)7-8-14(20)21/h2-6,12-13H,7-9H2,1H3,(H,17,19)(H,18,22)(H,20,21)(H,23,24)	L-Glutamic acid, N-(N-acetyl-L-phenylalanyl)-	CC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCC(=O)O)C(=O)O	0.416292965	2897882;7104011;7104012;7104013;7104014;7104015;7104016;6998052;6998053	PubChem:(2897882 7104011 7104012 7104013 7104014 7104015 7104016 6998052 6998053)	2	337.1391858997865	198.93520800000002	227_cdhrc_dbgi_alc_pos_sirius_6789
277	3	1	7	0.3113961255533656	-419.498027532995	N/A	40.198084077294595	C28H49N5O19	[M + K]+	VKJIKBJKQNXESK	InChI=1S/C28H49N5O19/c1-15(35)32-21-17(37)12-28(26(42)43,50-19(21)13-31-49-10-6-45-5-9-48-30)51-20(14-34)23(39)24-22(33-16(2)36)18(38)11-27(52-24,25(40)41)46-7-3-44-4-8-47-29/h13,17-24,34,37-39H,3-12,14,29-30H2,1-2H3,(H,32,35)(H,33,36)(H,40,41)(H,42,43)	null	CC(=O)NC1C(CC(OC1C=NOCCOCCON)(C(=O)O)OC(CO)C(C2C(C(CC(O2)(C(=O)O)OCCOCCON)O)NC(=O)C)O)O	-10.6000004	132524077	PubChem:(132524077)	2	798.2660000820973	138.903	5603_cdhrc_dbgi_alc_pos_sirius_1967
278	2	1	11	0.3112605870588975	-328.43613162633824	N/A	177.51857081087454	C40H59N3O9	[M + K]+	ULJASRBOWFVGAB	InChI=1S/C40H59N3O9/c1-23-22-39(7,48-20-14-17-29-15-12-11-13-16-29)35(51-37-33(45)30(42(9)10)21-24(2)49-37)26(4)32(44)27(5)36(46)50-28(6)40(8)34-25(3)31(23)41-18-19-43(34)38(47)52-40/h11-17,23-28,30,33-35,37,45H,18-22H2,1-10H3	null	CC1CC(C(C(O1)OC2C(C(=O)C(C(=O)OC(C3(C4C(C(=NCCN4C(=O)O3)C(CC2(C)OCC=CC5=CC=CC=C5)C)C)C)C)C)C)O)N(C)C	4.4000001	10190474;22770946	PubChem:(10190474 22770946)	2	764.3872694790377	652.0121399999999	4807_cdhrc_dbgi_alc_pos_sirius_1065
279	9	1	10	0.3105129879325926	-149.06876460733085	N/A	63.853065747393806	C23H45NO8	[M + Na]+	WLYOAAIKVOFHBB	InChI=1S/C23H45NO8/c1-5-8-11-28-16-19-21(29-12-9-6-2)22(31-15-18(27)14-25)20(24-17(4)26)23(32-19)30-13-10-7-3/h18-23,25,27H,5-16H2,1-4H3,(H,24,26)	null	CCCCOCC1C(C(C(C(O1)OCCCC)NC(=O)C)OCC(CO)O)OCCCC	1.5	70804413	PubChem:(70804413)	2	486.3058424674809	249.60257399999998	4106_cdhrc_dbgi_alc_pos_sirius_6703
280	7	1	8	0.3087068857584386	-221.68939037101288	N/A	90.98682961860757	C37H66F3NO4	[M + H]+	HCZNCLZATJYOHL	InChI=1S/C37H66F3NO4/c1-6-8-18-26-36(5,38)28-24-32(3)44-34(42)22-16-12-10-14-20-30-41-31-21-15-11-13-17-23-35(43)45-33(4)25-29-37(39,40)27-19-9-7-2/h24-25,28-29,32-33,41H,6-23,26-27,30-31H2,1-5H3	null	CCCCCC(C)(C=CC(C)OC(=O)CCCCCCCNCCCCCCCC(=O)OC(C)C=CC(CCCCC)(F)F)F	11.1000004	123190798	PubChem:(123190798)	2	646.5048217773438	710.29074	10_cdhrc_dbgi_alc_pos_sirius_3509
281	9	1	11	0.308459239910023	-174.8209346551383	N/A	210.5256927669912	C32H59N5O10	[M + Na]+	SGBATOYVQGIVGJ	InChI=1S/C32H59N5O10/c1-15(2)11-21(35-31(46)27(17(5)6)37-32(47)28(18(7)8)36-30(45)20(10)38)23(39)13-25(41)33-19(9)29(44)34-22(12-16(3)4)24(40)14-26(42)43/h15-24,27-28,38-40H,11-14H2,1-10H3,(H,33,41)(H,34,44)(H,35,46)(H,36,45)(H,37,47)(H,42,43)	Lactoyl-Val-Val-Sta-Ala-Sta	CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C)O)O	1.5	5480836;44294697	MeSH:(5480836);PubChem:(5480836 44294697);PubMed	70	696.4170304001398	445.292004	3342_cdhrc_dbgi_alc_pos_sirius_1099
282	12	1	12	0.3084460377029028	-59.57561264695267	N/A	20.259661067718092	C36H43NO17	[M + Na]+	IMIAGCONYJPMDY	InChI=1S/C36H43NO17/c1-15-16(2)31(44)53-29-26(49-18(4)39)30(52-21(7)42)35(14-47-17(3)38)28(51-20(6)41)25(43)23-27(50-19(5)40)36(35,34(29,9)46)54-33(23,8)13-48-32(45)22-11-10-12-37-24(15)22/h10-12,15-16,23,26-30,46H,13-14H2,1-9H3	y-8,18,19,20-tetramethyl-, (8R,9R,10R,11S,12S,13R,14R,15S,18S,19S,20S,21S)-	CC1C(C(=O)OC2C(C(C3(C(C(=O)C4C(C3(C2(C)O)OC4(COC(=O)C5=C1N=CC=C5)C)OC(=O)C)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)C	0.100000001	327248;3002217;477609;9548848;44583776;86579856;101593065;125124793;125124794;125124795;125124796;133562278	COCONUT:(CNP0402491);KNApSAcK:(13120);Natural Products:(UNPD72977 UNPD64266 UNPD121503 UNPD2816 UNPD65011 UNPD141889 UNPD94077);PubChem:(327248 3002217 477609 9548848 44583776 86579856 101593065 125124793 125124794 125124795 125124796 133562278);SuperNatural:(SN00268458 SN00341259 SN00399839 SN00224318 SN00402742 SN00336255);CHEBI:(35934);additional;Training Set;PubMed	3719282	784.2433828505004	346.257558	5393_cdhrc_dbgi_alc_pos_sirius_6568
283	9	1	10	0.3078063774817283	-133.59485097148868	N/A	201.98522152491287	C40H64O11	[M + Na]+	RFLKFQNYGNNJEY	InChI=1S/C40H64O11/c1-3-5-7-9-11-13-15-16-17-18-19-21-22-24-26-28-33(41)48-30-32(31-49-40-37(45)35(43)36(44)38(51-40)39(46)47)50-34(42)29-27-25-23-20-14-12-10-8-6-4-2/h5,7-8,10-11,13,16-17,19,21,32,35-38,40,43-45H,3-4,6,9,12,14-15,18,20,22-31H2,1-2H3,(H,46,47)	null	CCCC=CCCCCCCCC(=O)OC(COC1C(C(C(C(O1)C(=O)O)O)O)O)COC(=O)CCCCC=CCC=CCC=CCC=CCC	8.19999981	138251566	PubChem:(138251566)	2	743.4337581417512	562.2303420000001	5625_cdhrc_dbgi_alc_pos_sirius_231
284	5	1	5	0.3076662977167878	-617.0221041297405	N/A	43.39191067869581	C26H36N7O8P	[M + Na]+	IRGUBVPFAZTLCI	InChI=1S/C26H36N7O8P/c1-14(2)39-23(35)15(3)32-42(37,41-17-8-6-5-7-9-17)38-12-18-20(34)26(4,36)24(40-18)33-13-28-19-21(29-16-10-11-16)30-25(27)31-22(19)33/h5-9,13-16,18,20,24,34,36H,10-12H2,1-4H3,(H,32,37)(H3,27,29,30,31)	null	CC(C)OC(=O)C(C)NP(=O)(OCC1C(C(C(O1)N2C=NC3=C(N=C(N=C32)N)NC4CC4)(C)O)O)OC5=CC=CC=C5	1.20000005	139294041;139294042	PubChem:(139294041 139294042)	2	628.2247361382791	212.740572	5694_cdhrc_dbgi_alc_pos_sirius_5600
285	3	1	11	0.307338222363638	-211.72009254276517	N/A	24.46795378053719	C24H32N4O2S4	[M + H]+	WSDDLZJTSWVYQW	InChI=1S/C24H32N4O2S4/c1-7-31-19-11-17(25-15(5)29)12-20(32-8-2)23(19)27-28-24-21(33-9-3)13-18(26-16(6)30)14-22(24)34-10-4/h11-14H,7-10H2,1-6H3,(H,25,29)(H,26,30)	null	CCSC1=CC(=CC(=C1N=NC2=C(C=C(C=C2SCC)NC(=O)C)SCC)SCC)NC(=O)C	5.5999999	102225669	PubChem:(102225669)	2	537.150634765625	582.9872879999999	579_cdhrc_dbgi_alc_pos_sirius_4128
286	1	1	4	0.30703793864579815	-11.072761676566447	N/A	67.26357430898068	C12H12O5	[M + H]+	RAYQKHLZHPFYEJ	InChI=1S/C12H12O5/c1-14-8-6-7-4-5-9(13)17-10(7)12(16-3)11(8)15-2/h4-6H,1-3H3	Spectrum_000635	COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC)OC	1.79999995	3083928	SuperNatural:(SN00002988);ZINC bio:(ZINC02516970);additional;MeSH:(3083928);PubMed;COCONUT:(CNP0384025);KNApSAcK:(32667);Natural Products:(UNPD100922);PubChem:(3083928);CHEBI:(93172);Training Set;KEGG Mine	8593662070	237.0758062944429	283.822368	854_cdhrc_dbgi_alc_pos_sirius_6798
