confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
241	1	1	1	1	0.33924287227610955	-101.44888814865718	0.9999999999999999	103.26386043861108	C24H42O13	[M + H3N + H]+	BXGUYKBNJJYYMX	InChI=1S/C24H42O13/c1-3-5-7-9-15(25)33-11-13-17(27)19(29)21(31)23(35-13)37-24-22(32)20(30)18(28)14(36-24)12-34-16(26)10-8-6-4-2/h13-14,17-24,27-32H,3-12H2,1-2H3	6,6''-Di-O-hexanoyl-alpha,alpha-D-trehalose	CCCCCC(=O)OCC1C(C(C(C(O1)OC2C(C(C(C(O2)COC(=O)CCCCC)O)O)O)O)O)O	-0.300000012	49873667;68397074;70905906;75312257	PubChem:(49873667 68397074 70905906 75312257);PubMed	66	556.29661	220.28	1039_clematis_10_species_crop2-10min_231127_orbi_siri_1043	1043
242	1	1	1	1	0.33846890719331457	-24.88061284984849	0.9999999999999999	119.8583561226571	C19H30O8	[M + H]+	SWYRVCGNMNAFEK	InChI=1S/C19H30O8/c1-10-7-12(21)8-18(3,4)19(10,25)6-5-11(2)26-17-16(24)15(23)14(22)13(9-20)27-17/h5-7,11,13-17,20,22-25H,8-9H2,1-4H3	Roseoside	CC1=CC(=O)CC(C1(C=CC(C)OC2C(C(C(C(O2)CO)O)O)O)O)(C)C	-1.0	6325925;9930064;11165077;13857517;10317980;21630887;23757167;44570408;73815023;101020610;101993230;129316932;132587006;133561811;133562826;133568293	HMDB:(29772);SuperNatural:(SN00273685 SN00326418 SN00347778 SN00028365 SN00282195 SN00372413 SN00230019 SN00161976 SN00143688 SN00028366 SN00286373);ZINC bio:(ZINC31154891 ZINC31154896);additional;MeSH:(9930064 10317980 13857517 73815023 129316932 133561811 133562826);PubMed;COCONUT:(CNP0241893);KNApSAcK:(29328);Natural Products:(UNPD136770 UNPD133935 UNPD66311 UNPD110633 UNPD226674 UNPD6255 UNPD218317 UNPD17220 UNPD214197 UNPD52234 UNPD166371 UNPD9182 UNPD83267 UNPD212013 UNPD10450);PubChem:(6325925 9930064 11165077 13857517 10317980 21630887 23757167 44570408 73815023 101020610 101993230 129316932 132587006 133561811 133562826 133568293);CHEBI:(139452);PubChem class - bio and metabolites;Training Set	20504702	387.2017	163.42	427_clematis_10_species_crop2-10min_231127_orbi_siri_430	430
243	1	1	1	5	0.3360028009012948	-189.7144961776636	0.8532663316582915	60.61680637082609	C20H29NO10	[M + H]+	YDYZPHGFTXVVNB	InChI=1S/C20H29NO10/c1-7-8-15(28-12(4)24)18-17(21-10(2)22)20(30-14(6)26)19(29-13(5)25)16(31-18)9-27-11(3)23/h7,15-20H,1,8-9H2,2-6H3,(H,21,22)	null	CC(=O)NC1C(C(C(OC1C(CC=C)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C	0.200000003	134864489	PubChem:(134864489)	2	444.18663	174.25	557_clematis_10_species_crop2-10min_231127_orbi_siri_560	560
244	1	2	1	1	0.3352861496322191	-3.9546426582087006	0.9984924623115576	47.70860976842402	C9H8O3	[M + H]+	NGSWKAQJJWESNS	InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)	coumarate	C1=CC(=CC=C1C=CC(=O)O)O	1.39296985	322;1549106;637542;11116469;16109932;54708745;54721280;54729371;71310960;117064649;124202750;131708669;131871182	HMDB:(2035 30677 128076);SuperNatural:(SN00157333 SN00000381 SN00248047 SN00397780);ZINC bio:(ZINC00039811 ZINC04632590);additional;MeSH:(637542);Plantcyc:(COUMARATE);PubMed;NORMAN:(NS00004354);COCONUT:(CNP0255341 CNP0359225);KNApSAcK:(580);Natural Products:(UNPD19621 UNPD96408 UNPD212098);PubChem:(322 1549106 637542 11116469 16109932 54708745 54721280 54729371 71310960 117064649 124202750 131708669 131871182);CHEBI:(32374 58152 12876 36090 32373 17450);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C06738 C00811);PubChem class - safety and toxic;YMDB:(498);Training Set;Biocyc:(CIS-P-COUMARATE COUMARATE CPD1UA-13)	17267943806	165.05494	139.88	178_clematis_10_species_crop2-10min_231127_orbi_siri_181	181
245	1	1	1	4	0.3338324908133516	-122.39261235612831	0.6211055276381909	47.049277819418414	C27H32O17	[M + Na]+	OSOBYAYBSCOAHU	InChI=1S/C27H32O17/c28-6-14(34)19(35)21(37)17(44-27-24(40)23(39)20(36)16(7-29)43-27)8-41-26-22(38)18-13(33)4-10(30)5-15(18)42-25(26)9-1-2-11(31)12(32)3-9/h1-5,14,16-17,19-21,23-24,27-37,39-40H,6-8H2	null	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OCC(C(C(C(CO)O)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O	-2.29999995	138457963	PubChem:(138457963)	2	651.15554	208.24	911_clematis_10_species_crop2-10min_231127_orbi_siri_914	914
246	1	1	1	1	0.3331576761325058	-23.917023614047263	0.9989949748743717	77.39211248929914	C28H32O16	[M + H]+	OIGSSDJKYJBKMU	InChI=1S/C28H32O16/c1-40-13-4-9(2-3-10(13)31)12-5-11(32)18-14(41-12)6-15(43-28-26(39)24(37)21(34)17(8-30)44-28)19(22(18)35)27-25(38)23(36)20(33)16(7-29)42-27/h2-6,16-17,20-21,23-31,33-39H,7-8H2,1H3	Isoscoparin 7-O-glucoside	COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)C5C(C(C(C(O5)CO)O)O)O)O)O	-1.60000002	44258179;72193680	COCONUT:(CNP0244636);KNApSAcK:(6273);Natural Products:(UNPD108248);PubChem:(44258179 72193680);SuperNatural:(SN00271505);CHEBI:(75559)	3178546	625.1777	146.85	236_clematis_10_species_crop2-10min_231127_orbi_siri_239	239
247	1	2	1	4	0.33155028148872123	-421.71201750651744	0.06030150753768845	50.1044806572683	C20H32N6O12P2	[M + H]+	AJAZJZNOJVDYJL	InChI=1S/C20H32N6O12P2/c1-20(2,3)37-19(29)25-6-4-5-11(25)7-34-39(30,31)38-40(32,33)35-8-12-14(27)15(28)18(36-12)26-10-24-13-16(21)22-9-23-17(13)26/h9-12,14-15,18,27-28H,4-8H2,1-3H3,(H,30,31)(H,32,33)(H2,21,22,23)	null	CC(C)(C)OC(=O)N1CCCC1COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O	-1.16257596	11146480	PubChem:(11146480)	2	611.1617	163.19	425_clematis_10_species_crop2-10min_231127_orbi_siri_428	428
248	1	2	1	2	0.3300800591945719	-174.03883154098392	0.09899497487437188	58.6617631582277	C8H24N4O6P2	[M + H]+	FKIJGOGHSNJMRX	InChI=1S/C8H24N4O6P2/c9-1-3-11(7-19(13,14)15)5-6-12(4-2-10)8-20(16,17)18/h1-10H2,(H2,13,14,15)(H2,16,17,18)	null	C(CN(CCN(CCN)CP(=O)(O)O)CP(=O)(O)O)N	-9.60000038	124674217	PubChem:(124674217)	2	335.12345	147.16	239_clematis_10_species_crop2-10min_231127_orbi_siri_242	242
249	1	1	1	1	0.3298387567407761	-55.034224480819496	0.9999999999999999	39.05006736966851	C18H24O10	[M + H3N + H]+	ANBDPRMOSSDALY	InChI=1S/C18H24O10/c1-9(27-18-17(25)16(24)15(23)13(7-19)28-18)8-26-14(22)5-3-10-2-4-11(20)12(21)6-10/h2-6,9,13,15-21,23-25H,7-8H2,1H3	null	CC(COC(=O)C=CC1=CC(=C(C=C1)O)O)OC2C(C(C(C(O2)CO)O)O)O	-0.400000006	101609127	PubChem:(101609127)	2	418.17114	171.02	520_clematis_10_species_crop2-10min_231127_orbi_siri_523	523
250	1	1	1	1	0.3298205512331798	-14.830356734061084	0.9999999999999999	68.96450011513767	C19H23NO3	[M + H]+	ZBKFZIUKXTWQTP	InChI=1S/C19H23NO3/c1-20-9-8-14-11-18(22-2)19(23-3)12-16(14)17(20)10-13-4-6-15(21)7-5-13/h4-7,11-12,17,21H,8-10H2,1-3H3	Armepavine	CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)O)OC)OC	3.4000001	98348;680292;442169;6920653;6920654	COCONUT:(CNP0171801 CNP0222030);KNApSAcK:(1810);Natural Products:(UNPD106458 UNPD75919);PubChem:(98348 680292 442169 6920653 6920654);SuperNatural:(SN00042753 SN00155730);CHEBI:(2826);ZINC bio:(ZINC00044851 ZINC00044853);MeSH:(442169);KEGG:(C09342);PubMed	3187062	314.17575	175.63	577_clematis_10_species_crop2-10min_231127_orbi_siri_580	580
251	1	1	1	1	0.329769635423902	-114.55347049128257	0.9954773869346732	181.39313134344707	C18H30O13	[M + H]+	IXVOGFWMCXHKBW	InChI=1S/C18H30O13/c1-3-9(19)27-5-7-11(21)13(23)15(25)17(29-7)31-18-16(26)14(24)12(22)8(30-18)6-28-10(20)4-2/h7-8,11-18,21-26H,3-6H2,1-2H3	null	CCC(=O)OCC1C(C(C(C(O1)OC2C(C(C(C(O2)COC(=O)CC)O)O)O)O)O)O	-3.20000005	58422930;58422932;68224967;90379080;123232206	PubChem:(58422930 58422932 68224967 90379080 123232206)	2	455.17686	263.78	1320_clematis_10_species_crop2-10min_231127_orbi_siri_1327	1327
252	1	1	1	1	0.32959421608544015	-7.617882086804634	0.9999999999999999	44.63764589914091	C17H20O9	[M + H]+	RAGZUCNPTLULOL	InChI=1S/C17H20O9/c1-25-12-6-9(2-4-10(12)18)3-5-14(20)26-13-8-17(24,16(22)23)7-11(19)15(13)21/h2-6,11,13,15,18-19,21,24H,7-8H2,1H3,(H,22,23)	3-O-Feruloylquinic acid	COC1=C(C=CC(=C1)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)O)O	-0.100000001	5317346;6451331;9799386;10133609;15901362;15979923;25175592;68103346;73210496;89953069;101133838;122595298;123272964;131752769;131850437;131853509	HMDB:(39960);SuperNatural:(SN00323720 SN00279423 SN00017896 SN00003489 SN00158058 SN00262758 SN00323617);ZINC bio:(ZINC03804531 ZINC12153723);additional;PubMed;COCONUT:(CNP0060633 CNP0368158);KNApSAcK:(35939);Natural Products:(UNPD182470 UNPD190634 UNPD188103 UNPD218348 UNPD226250 UNPD173560);PubChem:(5317346 6451331 9799386 10133609 15901362 15979923 25175592 68103346 73210496 89953069 101133838 122595298 123272964 131752769 131850437 131853509);CHEBI:(86388);PubChem class - bio and metabolites;KEGG:(C02572)	20488570	369.11817	167.44	472_clematis_10_species_crop2-10min_231127_orbi_siri_475	475
253	1	5	1	5	0.3293762387119951	-343.06932287430317	0.021608040201005027	65.40267834769153	C20H32N5O6PS2	[M + H]+	AKENKVHDBPHFLJ	InChI=1S/C20H32N5O6PS2/c1-14(2)19(26)33-9-7-30-32(28,31-8-10-34-20(27)15(3)4)13-29-6-5-25-12-24-16-17(21)22-11-23-18(16)25/h11-12,14-15H,5-10,13H2,1-4H3,(H2,21,22,23)	9-{2-[O,O''-Bis[(S-isobutylthio)ethyl]phosphono-methoxy]ethyl}adenine	CC(C)C(=O)SCCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCCSC(=O)C(C)C	2.06558299	464176	PubChem:(464176);PubMed	66	534.16127	146.79	234_clematis_10_species_crop2-10min_231127_orbi_siri_237	237
254	1	3	1	3	0.3289112067282811	-301.25768692531045	0.010050251256281407	52.74919790896305	C19H22N3O9P	[M + Na]+	KQMACXOGXHHWJN	InChI=1S/C19H22N3O9P/c1-13(2)29-19(23)14(3)20-12-32(28,30-17-8-4-15(5-9-17)21(24)25)31-18-10-6-16(7-11-18)22(26)27/h4-11,13-14,20H,12H2,1-3H3	null	CC(C)OC(=O)C(C)NCP(=O)(OC1=CC=C(C=C1)[N+](=O)[O-])OC2=CC=C(C=C2)[N+](=O)[O-]	3.5	134425619	PubChem:(134425619)	2	490.09879	187.49	704_clematis_10_species_crop2-10min_231127_orbi_siri_707	707
255	1	1	1	1	0.3283664460347415	-111.9845814298195	0.9999999999999999	76.15397512309711	C17H32O11	[M + H]+	CCTUYBHSTFEWQS	InChI=1S/C17H32O11/c1-3-7(2)5-25-16-15(24)13(22)11(20)9(28-16)6-26-17-14(23)12(21)10(19)8(4-18)27-17/h7-24H,3-6H2,1-2H3	null	CCC(C)COC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O	-2.5	102296965	PubChem:(102296965)	2	413.20152	124.1	63_clematis_10_species_crop2-10min_231127_orbi_siri_65	65
256	1	1	1	2	0.32823521703671626	-68.03415399604083	0.8482412060301507	7.840186488468259	C35H70NO9P	[M + H]+	SPJGRQXWAJFBBQ	InChI=1S/C35H70NO9P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22-25-29-42-31-33(32-44-46(40,41)43-30-28-36(2,3)4)45-35(39)27-24-21-19-20-23-26-34(37)38/h33H,5-32H2,1-4H3,(H-,37,38,40,41)/p+1	1-O-Octadecyl-2-azelaorylglycerophosphocholine	CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(=O)O	9.39999962	164033;164034	MeSH:(164033);PubChem:(164033 164034);PubMed	70	680.48616	552.11	1713_clematis_10_species_crop2-10min_231127_orbi_siri_1724	1724
257	1	1	1	1	0.32784405240958203	-95.03635176986602	0.9999999999999999	22.645612115738906	C19H30O9	[M + Na]+	WRYQAWLWJCEDPR	InChI=1S/C19H30O9/c1-11(2)5-4-6-12(3)7-8-26-19-18(25)17(24)16(23)13(28-19)10-27-15(22)9-14(20)21/h5,7,13,16-19,23-25H,4,6,8-10H2,1-3H3,(H,20,21)	null	CC(=CCCC(=CCOC1C(C(C(C(O1)COC(=O)CC(=O)O)O)O)O)C)C	1.0	102069959	PubChem:(102069959)	2	425.17857	288.04	1403_clematis_10_species_crop2-10min_231127_orbi_siri_1413	1413
258	1	1	1	1	0.3274487508578557	-177.2916247462509	0.9999999999999999	116.88547794120932	C19H27NO11	[M + H]+	YEFUVRSZAHTXCA	InChI=1S/C19H27NO11/c20-17(27)16(8-4-2-1-3-5-8)31-19-15(26)13(24)12(23)10(30-19)7-29-18-14(25)11(22)9(21)6-28-18/h1-5,9-16,18-19,21-26H,6-7H2,(H2,20,27)	null	C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC(C3=CC=CC=C3)C(=O)N)O)O)O)O)O)O	-3.5	10503483;69243427;77634301	COCONUT:(CNP0293264);HMDB:(31697);Natural Products:(UNPD172968);PubChem:(10503483 69243427 77634301);SuperNatural:(SN00385443);PubChem class - bio and metabolites;KEGG Mine	8609890314	446.16629	245.89	1215_clematis_10_species_crop2-10min_231127_orbi_siri_1219	1219
259	1	1	1	3	0.32549299748397087	-124.26543556269839	0.9025125628140704	22.32663269605206	C24H40O14	[M + Na]+	SXJQPMUFGSICBE	InChI=1S/C24H40O14/c1-2-34-15(26)9-7-5-3-4-6-8-10-16(27)35-12-14-18(29)20(31)22(33)24(37-14)38-23-21(32)19(30)17(28)13(11-25)36-23/h2,13-14,17-25,28-33H,1,3-12H2	null	C=COC(=O)CCCCCCCCC(=O)OCC1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O	-1.0	101752015;101349113	PubChem:(101752015 101349113)	2	575.23154	214.42	990_clematis_10_species_crop2-10min_231127_orbi_siri_993	993
260	1	1	1	1	0.32511678935658866	-26.19443245570516	0.9989949748743717	51.04516073583288	C35H42O20	[M + H]+	CZVHVLUBLQNXNA	InChI=1S/C35H42O20/c1-11-21(40)25(44)27(46)33(48-11)51-16-8-17(39)20-18(9-16)52-29(14-4-6-15(38)7-5-14)31(24(20)43)55-35-32(50-13(3)37)30(22(41)12(2)49-35)54-34-28(47)26(45)23(42)19(10-36)53-34/h4-9,11-12,19,21-23,25-28,30,32-36,38-42,44-47H,10H2,1-3H3	null	CC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)OC4C(C(C(C(O4)C)O)OC5C(C(C(C(O5)CO)O)O)O)OC(=O)C)C6=CC=C(C=C6)O)O)O)O)O	-1.33855402	""	COCONUT:(CNP0243775);Natural Products:(UNPD180028);SuperNatural:(SN00327800)	3178496	783.23384	208.24	982_clematis_10_species_crop2-10min_231127_orbi_siri_985	985
261	1	1	1	1	0.32429559225909294	-116.12696116687736	0.9999999999999999	22.998137236271674	C20H34O11	[M + Na]+	LLJYAVVITNRUTL	InChI=1S/C20H34O11/c1-2-3-4-5-6-7-8-28-10-12-18(15(24)16(25)19(27)29-12)31-20-17(26)14(23)13(22)11(9-21)30-20/h2,6-7,11-27H,1,3-5,8-10H2	null	C=CCCCC=CCOCC1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)CO)O)O)O	-1.79999995	101203971	PubChem:(101203971)	2	473.19971	190.34	692_clematis_10_species_crop2-10min_231127_orbi_siri_695	695
262	1	1	1	1	0.31999819664936474	-9.48107486793626	0.9989949748743718	64.31964047999051	C22H20O13	[M + H]+	VVZWHOMBDMMRSC	InChI=1S/C22H20O13/c1-32-11-4-7(2-3-9(11)24)18-19(14(26)13-10(25)5-8(23)6-12(13)33-18)34-22-17(29)15(27)16(28)20(35-22)21(30)31/h2-6,15-17,20,22-25,27-29H,1H3,(H,30,31)	Isorhamnetin 3-glucuronide	COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O	0.899999976	5491630;45782983;44259376;89646653	COCONUT:(CNP0066340 CNP0279368);HMDB:(126576);KNApSAcK:(5527);Natural Products:(UNPD127152 UNPD76247);PubChem:(5491630 45782983 44259376 89646653);SuperNatural:(SN00030359 SN00030971 SN00030972 SN00030358 SN00038238 SN00038239 SN00297918 SN00248114);YMDB Mine;ZINC bio:(ZINC31169836 ZINC31169840 ZINC31169843 ZINC31169847 ZINC35271351 ZINC35271355);additional;PubChem class - bio and metabolites;Training Set	34380242970	493.09725	205.69	886_clematis_10_species_crop2-10min_231127_orbi_siri_889	889
263	1	1	1	1	0.3177007643750194	-70.66949533027903	0.9999999999999999	28.341453561061794	C35H68NO9P	[M + H]+	XGMFTQCLURFMAJ	InChI=1S/C35H68NO9P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-20-23-26-34(38)42-31-33(32-44-46(40,41)43-30-28-36(2,3)4)45-35(39)27-24-21-18-19-22-25-29-37/h29,33H,5-28,30-32H2,1-4H3/p+1	null	CCCCCCCCCCCCCCCCCC(=O)OCC(CO[P+](O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=O	9.0	101209647	PubChem:(101209647);YMDB Mine	34359738370	678.46941	575.15	1757_clematis_10_species_crop2-10min_231127_orbi_siri_1769	1769
264	1	1	1	1	0.3174009828150975	-13.823917013673343	0.9989949748743718	100.63623610910176	C23H22O11	[M + H]+	AGQLGMXLTFMOAP	InChI=1S/C23H22O11/c1-9-20(32-10(2)24)18(29)19(30)23(31-9)34-22-17(28)16-14(27)7-13(26)8-15(16)33-21(22)11-3-5-12(25)6-4-11/h3-9,18-20,23,25-27,29-30H,1-2H3	4''''-O-Acetylafzelin	CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)OC(=O)C	1.79999995	10624340;11525750;14861229;44258955;51030804;88978906	COCONUT:(CNP0245095);HMDB:(39746);KNApSAcK:(5862);Natural Products:(UNPD21967 UNPD87266 UNPD169644);PubChem:(10624340 11525750 14861229 44258955 51030804 88978906);SuperNatural:(SN00361671 SN00330534);PubChem class - bio and metabolites;PubMed	19955802	475.12346	255.53	1274_clematis_10_species_crop2-10min_231127_orbi_siri_1280	1280
265	1	1	1	1	0.31606222383306537	-42.72518485158259	0.9999999999999999	19.098239945376637	C18H39NO2	[M + H]+	CPHJEACXPATRSU	InChI=1S/C18H39NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-19(15-17-20)16-18-21/h20-21H,2-18H2,1H3	N-Tetradecyl diethanolamine	CCCCCCCCCCCCCCN(CCO)CCO	5.5999999	12942137	NORMAN:(NS00026192);Training Set;PubChem:(12942137)	278530	302.30537	397.4	1514_clematis_10_species_crop2-10min_231127_orbi_siri_1525	1525
266	1	1	1	1	0.31545109076147815	-132.09192478976954	0.9979899497487436	27.39242752290218	C21H34O10	[M + Na]+	QOIHIEPXTNMSSM	InChI=1S/C21H34O10/c1-10(6-14-7-11(2)20(28)30-14)4-5-13(12(3)19(26)27)9-29-21-18(25)17(24)16(23)15(8-22)31-21/h4,11-18,21-25H,5-9H2,1-3H3,(H,26,27)	null	CC1CC(OC1=O)CC(=CCC(COC2C(C(C(C(O2)CO)O)O)O)C(C)C(=O)O)C	0.699999988	45359728	COCONUT:(CNP0319618);PubChem:(45359728);SuperNatural:(SN00037876 SN00033466 SN00037874 SN00037877 SN00037875 SN00033465 SN00033464 SN00033463);ZINC bio:(ZINC31163360 ZINC31163364 ZINC31163367 ZINC31163371 ZINC35458291 ZINC35458295 ZINC35458300 ZINC35458303);additional;Training Set	3694594	469.20508	213.76	979_clematis_10_species_crop2-10min_231127_orbi_siri_982	982
267	1	1	1	1	0.3149809628518327	-255.56802768163067	0.9999999999999999	107.57195219267423	C17H21NO9	[M + H]+	XFZJEMCJKGGINT	InChI=1S/C17H21NO9/c1-2-7-25-15(23)14-12(21)11(20)13(22)16(26-14)27-17(24)18-10-5-3-9(8-19)4-6-10/h2-6,11-14,16,19-22H,1,7-8H2,(H,18,24)	null	C=CCOC(=O)C1C(C(C(C(O1)OC(=O)NC2=CC=C(C=C2)CO)O)O)O	-0.300000012	68912461	PubChem:(68912461)	2	384.12892	209.91	925_clematis_10_species_crop2-10min_231127_orbi_siri_928	928
268	1	1	1	1	0.31461250085503467	-91.88940814124577	0.9999999999999999	67.81285178761425	C16H26O9	[M + H3N + H]+	IVUFRBWVXKXZMM	InChI=1S/C16H26O9/c1-7-2-3-8(9(4-17)15(22)23)10(7)6-24-16-14(21)13(20)12(19)11(5-18)25-16/h8-9,11-14,16-21H,2-6H2,1H3,(H,22,23)	null	CC1=C(C(CC1)C(CO)C(=O)O)COC2C(C(C(C(O2)CO)O)O)O	-2.5	51136579;52326091;52326095;52326099;52326101;124905069;124905070;124905071;124905072	COCONUT:(CNP0181081 CNP0237682);PubChem:(51136579 52326091 52326095 52326099 52326101 124905069 124905070 124905071 124905072);SuperNatural:(SN00039412 SN00039410 SN00039411 SN00039413);ZINC bio:(ZINC49601634 ZINC49601637 ZINC49601640 ZINC49601641);additional;Training Set	3694594	380.1919	195.81	792_clematis_10_species_crop2-10min_231127_orbi_siri_795	795
269	1	1	1	1	0.3139734834324351	-189.09552673513426	0.9989949748743717	80.76965972311339	C16H17N5O4	[M + H]+	QVUUUSJUORLECR	InChI=1S/C16H17N5O4/c22-6-10-12(23)13(24)16(25-10)21-8-19-11-14(17-7-18-15(11)21)20-9-4-2-1-3-5-9/h1-5,7-8,10,12-13,16,22-24H,6H2,(H,17,18,20)	Lopac-P-108	C1=CC=C(C=C1)NC2=C3C(=NC=N2)N(C=N3)C4C(C(C(O4)CO)O)O	0.245560795	4405;101430;1277506;7059555;7059556;7059557;7059558;6603956;12997925;11957679;57294386;101609046	MeSH:(101430);PubChem:(4405 101430 1277506 7059555 7059556 7059557 7059558 6603956 12997925 11957679 57294386 101609046);PubMed;CHEBI:(112766);additional	524390	344.1342	142.48	199_clematis_10_species_crop2-10min_231127_orbi_siri_202	202
270	1	1	1	1	0.3134678731738391	-27.871501228646785	0.9999999999999999	58.16303892471625	C15H18O9	[M + H]+	QOPSZFXPZWQLOG	InChI=1S/C15H18O9/c16-6-10-12(20)13(21)14(22)15(24-10)23-9-5-7(1-3-8(9)17)2-4-11(18)19/h1-5,10,12-17,20-22H,6H2,(H,18,19)	Caffeic acid 3-glucoside	C1=CC(=C(C=C1C=CC(=O)O)OC2C(C(C(C(O2)CO)O)O)O)O	-0.813954413	442776;4484223;6124133;5281759;21027076;67128639;69501423;131700415;129887345	COCONUT:(CNP0080135 CNP0203493);KNApSAcK:(2716);Natural Products:(UNPD226509 UNPD101477 UNPD226714 UNPD62739);PubChem:(442776 4484223 6124133 5281759 21027076 67128639 69501423 131700415 129887345);SuperNatural:(SN00337954 SN00006988 SN00357374);CHEBI:(3293);ZINC bio:(ZINC04098722);additional;KEGG:(C10431);Training Set;PubMed	3727730	343.1039	121.71	54_clematis_10_species_crop2-10min_231127_orbi_siri_56	56
271	1	1	1	1	0.3129945792233364	-5.797451362956004	0.9979899497487437	12.422476535971736	C27H30O15	[M + Na]+	RTATXGUCZHCSNG	InChI=1S/C27H30O15/c1-9-17(31)20(34)22(36)26(39-9)38-8-15-18(32)21(35)23(37)27(41-15)42-25-19(33)16-13(30)6-12(29)7-14(16)40-24(25)10-2-4-11(28)5-3-10/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3	Nicotifolin	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O	-0.899999976	5318767;12313332;12313333;12313335;10210666;10257904;15944778;11376821;20055286;24211973;44144326;44249794;44258742;44258806;44445551;44460580;73897330;86765289;90058543;93472769;93472770;93472771;93472772;98072855;98072857;98072859;98072860;101682759;100903547;125027371;125027372;125027373;122173234;124899991;124899993;124899994;124899995;134692656;139033618;138644963;138107481	HMDB:(37574);SuperNatural:(SN00293702 SN00311939 SN00258813 SN00310317 SN00346698 SN00038632 SN00177535 SN00334609 SN00303702 SN00391203 SN00373630 SN00036282 SN00285906 SN00143561 SN00234856 SN00166968 SN00318195 SN00378389 SN00038631 SN00178120 SN00038629 SN00248446 SN00348523 SN00380529 SN00038630);ZINC bio:(ZINC04349478 ZINC38139710 ZINC38139711 ZINC38139712 ZINC38139713);additional;MeSH:(5318767);PubMed;COCONUT:(CNP0194194 CNP0222584);KNApSAcK:(5160);Natural Products:(UNPD186979 UNPD168371 UNPD31808 UNPD56061 UNPD125891 UNPD128334 UNPD142416 UNPD138039 UNPD145411 UNPD118696 UNPD120545 UNPD29339 UNPD229854 UNPD123407 UNPD18654 UNPD33698 UNPD194383 UNPD140232 UNPD150815 UNPD193662);PubChem:(5318767 12313332 12313333 12313335 10210666 10257904 15944778 11376821 20055286 24211973 44144326 44249794 44258742 44258806 44445551 44460580 73897330 86765289 90058543 93472769 93472770 93472771 93472772 98072855 98072857 98072859 98072860 101682759 100903547 125027371 125027372 125027373 122173234 124899991 124899993 124899994 124899995 134692656 139033618 138644963 138107481);CHEBI:(139410 69657);PubChem class - bio and metabolites;PubChem class - safety and toxic;Biocyc:(CPD-15072);KEGG Mine	8677533822	617.14671	193.89	774_clematis_10_species_crop2-10min_231127_orbi_siri_777	777
272	1	1	1	1	0.31213729099881254	-10.927634107394104	0.9999999999999999	65.55442824385291	C12H12O5	[M + H]+	RAYQKHLZHPFYEJ	InChI=1S/C12H12O5/c1-14-8-6-7-4-5-9(13)17-10(7)12(16-3)11(8)15-2/h4-6H,1-3H3	Spectrum_000635	COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC)OC	1.79999995	3083928	SuperNatural:(SN00002988);ZINC bio:(ZINC02516970);additional;MeSH:(3083928);PubMed;COCONUT:(CNP0384025);KNApSAcK:(32667);Natural Products:(UNPD100922);PubChem:(3083928);CHEBI:(93172);Training Set;KEGG Mine	8593662070	237.07584	283.82	1382_clematis_10_species_crop2-10min_231127_orbi_siri_1391	1391
