molecularFormula_canopus	adduct_canopus	NPC#pathway_canopus	NPC#superclass_canopus	NPC#class_canopus	ConfidenceScore_sirius	CSI:FingerIDScore_sirius	ZodiacScore_sirius	SiriusScore_sirius	molecularFormula_sirius	adduct_sirius	InChIkey2D_sirius	InChI_sirius	name_sirius	smiles_sirius	xlogp_sirius	ionMass_sirius	Unnamed: 0_metAnnot	rank_spec_metAnnot	msms_score_metAnnot	libname_metAnnot	structure_wikidata_metAnnot	structure_inchikey_metAnnot	structure_inchi_metAnnot	structure_smiles_metAnnot	structure_molecular_formula_metAnnot	adduct_metAnnot	structure_exact_mass_metAnnot	structure_nameTraditional_metAnnot	short_inchikey_metAnnot	structure_taxonomy_npclassifier_01pathway_metAnnot	structure_taxonomy_npclassifier_02superclass_metAnnot	structure_taxonomy_npclassifier_03class_metAnnot	organism_wikidata_metAnnot	organism_name_metAnnot	organism_taxonomy_ottid_metAnnot	organism_taxonomy_01domain_metAnnot	organism_taxonomy_02kingdom_metAnnot	organism_taxonomy_03phylum_metAnnot	organism_taxonomy_04class_metAnnot	organism_taxonomy_05order_metAnnot	organism_taxonomy_06family_metAnnot	organism_taxonomy_07tribe_metAnnot	organism_taxonomy_08genus_metAnnot	organism_taxonomy_09species_metAnnot	organism_taxonomy_10varietas_metAnnot	matched_domain_metAnnot	matched_kingdom_metAnnot	matched_phylum_metAnnot	matched_class_metAnnot	matched_order_metAnnot	matched_family_metAnnot	matched_tribe_metAnnot	matched_genus_metAnnot	matched_species_metAnnot	score_taxo_metAnnot	score_max_consistency_metAnnot	final_score_metAnnot	rank_final_metAnnot	component_id_metAnnot	structure_taxonomy_npclassifier_01pathway_consensus_metAnnot	freq_structure_taxonomy_npclassifier_01pathway_metAnnot	structure_taxonomy_npclassifier_02superclass_consensus_metAnnot	freq_structure_taxonomy_npclassifier_02superclass_metAnnot	structure_taxonomy_npclassifier_03class_consensus_metAnnot	freq_structure_taxonomy_npclassifier_03class_metAnnot	shared_id
C18H30O8	[M + Na]+	Fatty acids	Octadecanoids	Jasmonic acids	0.0501402959756605	-82.22189910624013		11.00785716539107	C18H30O8	[M + Na]+	WDBFTGFPZVHCGN	InChI=1S/C18H30O8/c1-2-3-4-5-10-6-7-12(11(10)8-14(20)21)25-18-17(24)16(23)15(22)13(9-19)26-18/h3-4,10-13,15-19,22-24H,2,5-9H2,1H3,(H,20,21)		CCC=CCC1CCC(C1CC(=O)O)OC2C(C(C(C(O2)CO)O)O)O	0.534905195	397.1831173262991																																																		2716
C18H18N4O5	[M + Na]+	Alkaloids	Pseudoalkaloids	Pyridine alkaloids	0.0496203321132254	-161.56140241858677		24.35650494930247	C18H18N4O5	[M + Na]+	XAEVCNZTDOLDAS	InChI=1S/C18H18N4O5/c1-12(23)21-15-6-2-13(3-7-15)17(24)19-10-11-20-18(25)14-4-8-16(9-5-14)22(26)27/h2-9H,10-11H2,1H3,(H,19,24)(H,20,25)(H,21,23)		CC(=O)NC1=CC=C(C=C1)C(=O)NCCNC(=O)C2=CC=C(C=C2)[N+](=O)[O-]	1.20000005	393.11573697949297																																																		1808
C16H24O2	[M + H]+	Fatty acids	Fatty Acids and Conjugates	Estrane steroids	0.1913496391148748	-40.02755827725966		108.65449353804532	C16H24O2	[M + H]+	HLBUIXYVHIIDFZ	InChI=1S/C16H24O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2,7-15H2,1H3,(H,17,18)		CCC#CC#CCCCCCCCCCC(=O)O	5.19999981	249.1848272871284	1891.0	4.0	0.6767511	ISDB	http://www.wikidata.org/entity/Q105260279	STIYXYABWPDGCS-PRLTYNAASA-N	InChI=1S/C16H24O2/c1-9-5-6-13(17)16(4)8-7-12-10(2)11(3)18-15(12)14(9)16/h5,10,12-15,17H,3,6-8H2,1-2,4H3/t10-,12+,13-,14-,15+,16+/m1/s1	C=C1O[C@H]2[C@@H](CC[C@@]3(C)[C@H](O)CC=C(C)[C@H]23)[C@@H]1C	C16H24O2		248.177630008	(3S,3aS,5aR,6R,9aS,9bS)-3,5a,9-trimethyl-2-methylidene-3,3a,4,5,6,7,9a,9b-octahydrobenzo[g][1]benzofuran-6-ol	STIYXYABWPDGCS	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q15471153	Artemisia inculta	969157.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Artemisia']	['Artemisia inculta']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	6.7070043087005615	1	-1.0							6263
C10H12O6	[M + H]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids	0.1644777985556635	-83.91364273190123		80.07748360363702	C10H12O6	[M + H]+	QBMBLGBYLKMYHZ	InChI=1S/C10H12O6/c1-3-5(11)7(9(13)14)8(10(15)16)6(12)4-2/h3-6,11-12H,1-2H2,(H,13,14)(H,15,16)		C=CC(C(=C(C(C=C)O)C(=O)O)C(=O)O)O	-0.5	229.07071057175563																																																		1958
C13H19NO4	[M + K]+	Alkaloids	Tyrosine alkaloids	Phenylethylamines	0.0734149550608718	-87.19115298920292		12.776096368232706	C13H19NO4	[M + K]+	PFYKRTWJBWUKNO	InChI=1S/C13H19NO4/c1-9(13(15)18-4)14-8-10-5-6-11(16-2)12(7-10)17-3/h5-7,9,14H,8H2,1-4H3	methyl 2-[(3,4-dimethoxyphenyl)methylamino]propanoate	CC(C(=O)OC)NCC1=CC(=C(C=C1)OC)OC	1.77538288	292.0941436067316																																																		4306
C29H37NO15	[M + H]+	Shikimates and Phenylpropanoids	Flavonoids	Anthocyanidins	0.5939497249213246	-373.80542844028895		19.791299851204727	C29H37NO15	[M + H]+	DIUNGTRQPDDDDJ	InChI=1S/C29H37NO15/c1-13(31)30-21-24(22-19(42-27(21)36)12-38-28(44-22)18-9-7-6-8-10-18)45-29-26(41-17(5)35)25(40-16(4)34)23(39-15(3)33)20(43-29)11-37-14(2)32/h6-10,19-29,36H,11-12H2,1-5H3,(H,30,31)	[(2R,3S,4S,5R,6R)-6-[[(2R,4aR,7R,8R,8aS)-7-acetamido-6-hydroxy-2-phenyl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-8-yl]oxy]-3,4,5-triacetyloxyoxan-2-yl]methyl acetate	CC(=O)NC1C(C2C(COC(O2)C3=CC=CC=C3)OC1O)OC4C(C(C(C(O4)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C	-0.5	640.2234000161919																																																		6567
C21H39NO6	[M + H]+	Fatty acids	Ornithine alkaloids	Open-chain polyketides	0.0509213783849378	-215.51561400293875		12.742580040391898	C22H35N5O2	[M + H]+	LJLRIZCOLIPYAE	InChI=1S/C22H35N5O2/c1-2-23-22(26-19-7-3-4-8-19)24-17-18-6-5-9-20(16-18)25-21(28)10-11-27-12-14-29-15-13-27/h5-6,9,16,19H,2-4,7-8,10-15,17H2,1H3,(H,25,28)(H2,23,24,26)		CCNC(=NCC1=CC(=CC=C1)NC(=O)CCN2CCOCC2)NC3CCCC3	1.60000002	402.2854308037299																																																		1061
C13H13NO9	[M + H]+	Shikimates and Phenylpropanoids	Coumarins	Simple coumarins	0.0716770353557417	-182.90274609708973		56.14053159255222	C10H16N3O6P	[M + Na]+	HGVVWCDXVSXKJT	InChI=1S/C10H16N3O6P/c1-20(16,17)18-5-7-6(14)4-9(19-7)13-3-2-8(11)12-10(13)15/h2-3,6-7,9,14H,4-5H2,1H3,(H,16,17)(H2,11,12,15)		CP(=O)(O)OCC1C(CC(O1)N2C=CC(=NC2=O)N)O	-1.61698699	328.0664367675781	534.0	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q407857	IKGXIBQEEMLURG-NVPNHPEKSA-N	InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	C27H30O16	pos_2_2sodium	610.15338488	Rutin	IKGXIBQEEMLURG	Shikimates and Phenylpropanoids	Flavonoids	Flavonols	http://www.wikidata.org/entity/Q4993265	Clematis stans	21283.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Clematis']	['Clematis stans']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Clematis']		8	1	8.5	1	269.0	Shikimates and Phenylpropanoids	0.5	Sesquiterpenoids	0.1666666666666666	Simple coumarins	0.1666666666666666	233
C11H14O4	[M + H]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids	0.150300538253249	-85.46641729019872		111.2327896361479	C11H14O4	[M + H]+	TUVIMFMNYCHUFM	InChI=1S/C11H14O4/c1-3-5-8(7-10(12)13)9(6-4-2)11(14)15/h3-4H,1-2,5-7H2,(H,12,13)(H,14,15)		C=CCC(=C(CC=C)C(=O)O)CC(=O)O	2.0999999	211.0965101828998	374.0	2.0	0.54432476	ISDB	http://www.wikidata.org/entity/Q82083751	LLBXZZOFEUAEOM-UHFFFAOYSA-N	InChI=1S/C11H14O4/c1-7(2)15-11(13)8-4-5-9(12)10(6-8)14-3/h4-7,12H,1-3H3	COc1cc(C(=O)OC(C)C)ccc1O	C11H14O4		210.089208928	Isopropyl 4-hydroxy-3-methoxybenzoate	LLBXZZOFEUAEOM	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Shikimic acids and derivatives	http://www.wikidata.org/entity/Q11739000	Calycanthus chinensis	913239.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Laurales']	['Calycanthaceae']	['Unknown']	['Calycanthus']	['Calycanthus chinensis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	1	6.6772990226745605	1	356.0	Shikimates and Phenylpropanoids	0.75	Coumarins	0.625	Simple coumarins	0.625	1991
C11H16O5	[M + H]+	Terpenoids	Monoterpenoids	Iridoids monoterpenoids	0.1118891514552404	-102.83571492981186		118.92335389755053	C11H16O5	[M + H]+	WGEGOPCTBKRIRV	InChI=1S/C11H16O5/c1-8(12)7-9(11(14)16-3)5-4-6-10(13)15-2/h5H,4,6-7H2,1-3H3	2-Hexenedioic acid, 2-(2-oxopropyl)-, dimethyl ester	CC(=O)CC(=CCCC(=O)OC)C(=O)OC	0.300000012	229.10741772801552	1682.0	14.0	0.24795076	ISDB	http://www.wikidata.org/entity/Q104395891	XWOHZIIPBYAMJX-KHBMLBSESA-N	InChI=1S/C11H16O5/c1-5-8(12)3-6-7(10(13)15-2)4-16-11(14)9(5)6/h4-6,8-9,11-12,14H,3H2,1-2H3/t5-,6+,8-,9+,11+/m0/s1	COC(=O)C1=CO[C@@H](O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12	C11H16O5		228.099773612	Loganetin	XWOHZIIPBYAMJX	Terpenoids	Monoterpenoids	Iridoids monoterpenoids	http://www.wikidata.org/entity/Q163681	Dipsacus laciniatus	489131.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Dipsacus']	['Dipsacus laciniatus']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']				6	0	6.991803050041199	1	-1.0							5643
C14H12O6	[M + H]+	Shikimates and Phenylpropanoids	Monoterpenoids	Cinnamic acids and derivatives	0.0900817024541744	-179.29254826085077		91.66658311167528	C14H12O6	[M + H]+	PHGIGZCYZKOQCG	InChI=1S/C14H12O6/c15-13(20-11-5-6-17-14(11)16)4-2-9-1-3-10-12(7-9)19-8-18-10/h1-4,7,11H,5-6,8H2	[(3R)-2-oxooxolan-3-yl] (E)-3-(1,3-benzodioxol-5-yl)prop-2-enoate	C1COC(=O)C1OC(=O)C=CC2=CC3=C(C=C2)OCO3	2.0999999	277.07096082001846	1027.0	7.0	0.2147464	ISDB	http://www.wikidata.org/entity/Q63399611	SHOQQSABOUVQLJ-UHFFFAOYSA-N	InChI=1S/C14H12O6/c1-16-11-7-4-5-19-8(7)6-9-10(11)12(17-2)13(18-3)14(15)20-9/h4-6H,1-3H3	COc1c(OC)c2c(OC)c3ccoc3cc2oc1=O	C14H12O6		276.063388104	7H-Furo[3,2-g][1]benzopyran-7-one, 4,5,6-trimethoxy-	SHOQQSABOUVQLJ	Shikimates and Phenylpropanoids	Coumarins	Furocoumarins	http://www.wikidata.org/entity/Q18083276	Halfordia kendack	800699.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Rutaceae']	['Unknown']	['Halfordia']	['Halfordia kendack']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	2	5.858985602855682	1	221.0	Shikimates and Phenylpropanoids	1.0	Coumarins	1.0	Isocoumarins	1.0	3738
C25H30O	[M + H]+	Terpenoids	Steroids	Cyclophytane diterpenoids	0.0916515938607399	-144.51551299971896		175.2432067051287	C22H31FO2	[M + H]+	OFSNHULWSFGTLE	InChI=1S/C22H31FO2/c1-15-14-18-17-7-9-21(25,12-13-24)19(17,2)10-11-22(18,23)20(3)8-5-4-6-16(15)20/h5-6,8,10-11,15,17-18,24-25H,4,7,9,12-14H2,1-3H3		CC1CC2C3CCC(C3(C=CC2(C4(C1=CCC=C4)C)F)C)(CCO)O	4.4000001	347.23712159189324	170.0	2.0	0.31506065	ISDB	http://www.wikidata.org/entity/Q105280287	UWDIQZJVMAKUPJ-LWKPJOBUSA-N	InChI=1S/C20H30N2O3/c1-6-15(4)18(23)20(25)22(5)17(14(2)3)19(24)21-13-12-16-10-8-7-9-11-16/h7-11,14-15,17H,6,12-13H2,1-5H3,(H,21,24)/t15?,17-/m0/s1	CCC(C)C(=O)C(=O)N(C)[C@H](C(=O)NCCc1ccccc1)C(C)C	C20H30N2O3		346.22564282	Nevaltophin A	UWDIQZJVMAKUPJ	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q1465894	Xenorhabdus	332312.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Enterobacteriales']	['Morganellaceae']	['Unknown']	['Xenorhabdus']	['Unknown']											0	3	2.7602425813674927	1	211.0	Amino acids and Peptides	1.0	Small peptides	1.0	Dipeptides	1.0	1432
C16H25F2N3O4	[M + H]+	Alkaloids	Pseudoalkaloids	Pyridine alkaloids	0.2177567651562892	-153.7497987502472		9.543551121976115	C16H34ClNO2S	[M + Na]+	SEDIAXLYCXBGKW	InChI=1S/C16H34ClNO2S/c1-2-3-4-5-6-7-8-9-10-11-13-18-14-16-21(19,20)15-12-17/h18H,2-16H2,1H3		CCCCCCCCCCCCNCCS(=O)(=O)CCCl	5.30000019	362.18907165527344																																																		1612
C10H16N6O5	[M + H]+	Amino acids and Peptides	Small peptides	Purine nucleos(t)ides	0.0890926077882154	-63.46906623733682		9.346308214471328	C12H22O7	[M + Na]+	FHJYXPAMKCNSCT	InChI=1S/C12H22O7/c1-2-3-4-5-6-18-12-8(14)7(13)10(19-12)9(15)11(16)17/h7-10,12-15H,2-6H2,1H3,(H,16,17)		CCCCCCOC1C(C(C(O1)C(C(=O)O)O)O)O	0.5	301.1257748012644																																																		2211
C15H21NO5	[M + H]+	Alkaloids	Ornithine alkaloids	Simple indole alkaloids	0.1584493497722336	-214.21209213491056		66.54429753500729	C15H21NO5	[M + H]+	PTTQDOAJKUBERK	InChI=1S/C15H21NO5/c1-6-15(7-19-10-16,8-20-13(17)11(2)3)9-21-14(18)12(4)5/h2,4,6-9H2,1,3,5H3		CCC(COC#N)(COC(=O)C(=C)C)COC(=O)C(=C)C	3.0999999	296.14949142753267	600.0	1.0	0.38976905	ISDB									SIIIQDOZFLUJLN							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.559076189994812	1	-1.0							2544
C22H37N5O6	[M + H]+	Amino acids and Peptides	Fatty amides	Tripeptides	0.1635969891227862	-216.6133973719955		13.843560788985332	C22H37N5O6	[M + H]+	CWSZLJDXWYCLFF	InChI=1S/C22H37N5O6/c1-3-4-5-7-17(22(32)26-10-12-33-13-11-26)25-21(31)18-8-6-9-27(18)20(30)15-24-19(29)14-23-16(2)28/h17-18H,3-15H2,1-2H3,(H,23,28)(H,24,29)(H,25,31)		CCCCCC(C(=O)N1CCOCC1)NC(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)C	-0.200000003	468.2803955078125																																																		7000
C13H18O3	[M + H]+	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.1089871059788225	-74.78211171896356		240.63347850963004	C13H18O3	[M + H]+	JJRYPZMXNLLZFH	InChI=1S/C13H18O3/c1-9-7-11(15)8-12(3,4)13(9,16)6-5-10(2)14/h5-7,16H,8H2,1-4H3	Dehydrovomifoliol	CC1=CC(=O)CC(C1(C=CC(=O)C)O)(C)C	0.5	223.1328407988938	1403.0	20.0	0.26170954	ISDB	http://www.wikidata.org/entity/Q27106358	JJRYPZMXNLLZFH-URWSZGRFSA-N	InChI=1S/C13H18O3/c1-9-7-11(15)8-12(3,4)13(9,16)6-5-10(2)14/h5-7,16H,8H2,1-4H3/b6-5+/t13-/m1/s1	CC(=O)/C=C/[C@@]1(O)C(C)=CC(=O)CC1(C)C	C13H18O3		222.125594436	Dehydrovomifoliol	JJRYPZMXNLLZFH	Terpenoids	Apocarotenoids	Apocarotenoids(ε-)	http://www.wikidata.org/entity/Q7843804	Tripterygium regelii	483028.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Celastrales']	['Celastraceae']	['Unknown']	['Tripterygium']	['Tripterygium regelii']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Celastrales']	['Celastraceae']				6	3	8.546838164329529	1	59.0	Terpenoids	0.5263157894736842	Apocarotenoids	0.4210526315789473	Apocarotenoids(ε-)	0.2631578947368421	485
C23H20O11	[M + H]+	Shikimates and Phenylpropanoids	Isoflavonoids	Isoflavones	0.2296930716225431	-157.8016644517282		24.54161275161352	C17H21N4O10P	[M + H]+	KCUDJGDZWIJRDN	InChI=1S/C17H21N4O10P/c1-7-3-9-10(4-8(7)2)21(27)13-15(18-17(26)19-16(13)25)20(9)5-11(22)14(24)12(23)6-31-32(28,29)30/h3-4,11-12,14,22-24H,5-6H2,1-2H3,(H,19,25,26)(H2,28,29,30)		CC1=CC2=C(C=C1C)[N+](=C3C(=O)NC(=O)N=C3N2CC(C(C(COP(=O)(O)O)O)O)O)[O-]	-3.5999999	473.106286317693																																																		6356
C35H30N8O5	[M + H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids	0.0804229227863187	-150.25136766502888		29.21686617153241	C24H44O18	[M + Na]+	UIZMPBNAOQKGCK	InChI=1S/C24H44O18/c1-6-11(28)15(32)18(35)22(38-6)41-20(14(31)9(26)4-25)10(27)5-37-24-21(17(34)13(30)8(3)40-24)42-23-19(36)16(33)12(29)7(2)39-23/h6-36H,4-5H2,1-3H3		CC1C(C(C(C(O1)OC2C(C(C(OC2OCC(C(C(C(CO)O)O)OC3C(C(C(C(O3)C)O)O)O)O)C)O)O)O)O)O	-6.9000001	643.239240770394																																																		5784
C37H54N2O3S	[M + H]+	Terpenoids	Steroids	Pregnane steroids	0.1092958150955612	-333.64162626566406		32.44207489692077	C33H54N2O8	[M + H]+	QXVORDXQSHCYOS	InChI=1S/C33H54N2O8/c1-9-25(40-8)22(4)29-30(43-29)31-32(6,35-18-17-34-31)15-10-11-20(2)28-21(3)12-13-26(41-23(5)36)33(7,39)16-14-24(37)19-27(38)42-28/h10-13,15,21-22,24-26,28-31,34-35,37,39H,9,14,16-19H2,1-8H3		CCC(C(C)C1C(O1)C2C(NCCN2)(C)C=CC=C(C)C3C(C=CC(C(CCC(CC(=O)O3)O)(C)O)OC(=O)C)C)OC	2.79999995	607.3943749230664																																																		1329
C47H56NO7P	[M + H]+	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.3973711757002046	-114.60830584927884		17.247950541088077	C38H57N7O8	[M + K]+	FJGWLSJYUGRFKS	InChI=1S/C38H57N7O8/c1-23(2)18-30(43-34(48)28(40)20-25-10-6-5-7-11-25)36(50)44-31(19-24(3)4)37(51)45-32(21-26-13-15-27(46)16-14-26)35(49)41-22-33(47)42-29(38(52)53)12-8-9-17-39/h5-7,10-11,13-16,23-24,28-32,46H,8-9,12,17-22,39-40H2,1-4H3,(H,41,49)(H,42,47)(H,43,48)(H,44,50)(H,45,51)(H,52,53)		CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NCC(=O)NC(CCCCN)C(=O)O)NC(=O)C(CC2=CC=CC=C2)N	2.19500947	778.3885293197312																																																		6069
C43H76NO11P	[M + H]+	Fatty acids	Glycerophospholipids	Oxidized glycerophospholipids	0.1712774134815027	-248.16311589243205		24.86943404684873	C41H78NO11P	[M + Na]+	ALNMFYPMVURPNT	InChI=1S/C41H78NO11P/c1-3-5-7-8-9-10-11-12-13-14-15-16-17-20-24-28-40(46)50-34-37(35-52-54(48,49)51-33-32-42)53-41(47)29-25-21-18-19-23-26-36(43)30-31-39(45)38(44)27-22-6-4-2/h12-13,30-31,36-39,43-45H,3-11,14-29,32-35,42H2,1-2H3,(H,48,49)		CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC(C=CC(C(CCCCC)O)O)O	6.4000001	814.5230008986507																																																		1562
C19H19NO5	[M + H]+	Alkaloids	Ornithine alkaloids	Aspidosperma type	0.1441179935346118	-146.809968851549		12.339486693958248	C15H21N5O2	[M + K]+	MSMCLQVDTBBKOX	InChI=1S/C15H21N5O2/c1-11-10-12-13(16-11)17-15(20-4-8-22-9-5-20)18-14(12)19-2-6-21-7-3-19/h10H,2-9H2,1H3,(H,16,17,18)		CC1=CC2=C(N1)N=C(N=C2N3CCOCC3)N4CCOCC4	1.20000005	342.1320275297206																																																		2688
C22H36O8	[M + Na]+	Terpenoids	Sesquiterpenoids	Glycosylmonoacylglycerols	0.2723524637055511	-146.72491632900775		20.513566282018555	C22H36O8	[M + Na]+	OXKNERRCDTYUPQ	InChI=1S/C22H36O8/c1-2-3-4-8-11-27-14-17(15-28-13-16-9-6-5-7-10-16)29-22-21(26)20(25)19(24)18(12-23)30-22/h5-7,9-10,17-26H,2-4,8,11-15H2,1H3		CCCCCCOCC(COCC1=CC=CC=C1)OC2C(C(C(C(O2)CO)O)O)O	1.6524905	451.2304209836026																																																		3967
C10H10N6O6S	[M + Na]+	Alkaloids	Pseudoalkaloids	Purine nucleos(t)ides	0.2011324359844191	-261.181331110678		18.493562484092045	C11H20ClN2O2PS2	[M + Na]+	JPPAAGKZJLDPDY	InChI=1S/C11H20ClN2O2PS2/c1-5-7-8-19-11-9(12)10(13-14(11)6-2)17(18,15-3)16-4/h5-8H2,1-4H3	(5-butylsulfanyl-4-chloro-1-ethylpyrazol-3-yl)-dimethoxy-sulfanylidene-$l^{5}-phosphane	CCCCSC1=C(C(=NN1CC)P(=S)(OC)OC)Cl	4.4000001	365.0276757031168																																																		1731
C38H56O6	[M + H]+	Fatty acids	Glycerolipids	Diacylglycerols	0.1048085358285073	-239.74105293551665		4.493845067949103	C38H56O6	[M + H]+	ZLECTUCBRLGVHJ	InChI=1S/C38H56O6/c1-22(2)23-14-19-38(33(42)43)21-20-36(6)26(30(23)38)12-13-28-35(5)17-16-29(34(3,4)27(35)15-18-37(28,36)7)44-32(41)25-11-9-8-10-24(25)31(39)40/h8-9,23-30H,1,10-21H2,2-7H3,(H,39,40)(H,42,43)	(1R,3aS,5aR,5bR,9S,11aR)-9-(6-carboxycyclohex-3-ene-1-carbonyl)oxy-1-isopropenyl-5a,5b,8,8,11a-pentamethyl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic a	CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)OC(=O)C6CC=CCC6C(=O)O)C)C(=O)O	9.39999962	609.4128179251583																																																		2737
C6H15O4P	[M + H]+	Fatty acids	Fatty acyls	Fatty alcohols	0.076771825038603	-47.11080128293533		97.78578347034878	C7H15ClO3	[M + H]+	IILSTIHOWLUTTO	InChI=1S/C7H15ClO3/c8-3-1-2-4-11-6-7(10)5-9/h7,9-10H,1-6H2	1,2-Propanediol, 3-(4-chlorobutoxy)-	C(CCCl)COCC(CO)O	0.100000001	183.07816861434185																																																		808
C39H48F2N6O	[M + H]+	Alkaloids	Tryptophan alkaloids	Tropane alkaloids	0.0822980910235513	-348.4815272002307		12.209723220792148	C28H56N8O7	[M + K]+	FETDJKMEWYGCJF	InChI=1S/C28H56N8O7/c1-27(2,3)42-25(40)35-20(17-22(29)37)19-33-15-9-13-31-11-7-8-12-32-14-10-16-34-24(39)21(18-23(30)38)36-26(41)43-28(4,5)6/h20-21,31-33H,7-19H2,1-6H3,(H2,29,37)(H2,30,38)(H,34,39)(H,35,40)(H,36,41)	tert-butyl N-[(2S)-4-amino-1-[3-[4-[3-[[(2S)-4-amino-2-[(2-methylpropan-2-yl)oxycarbonylamino]-4-oxobutanoyl]amino]propylamino]butylamino]propylamino]-4-oxobutan-2-yl]carbamate	CC(C)(C)OC(=O)NC(CC(=O)N)CNCCCNCCCCNCCCNC(=O)C(CC(=O)N)NC(=O)OC(C)(C)C	-1.10000002	655.3910827636719																																																		6302
